,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1,MCC
0,0,RandomForestClassifier,0.7407151834776465,0.7963477821306709,0.8519803807836953,0.8,0.5299145299145299,0.4904642821226197
1,1,RandomForestClassifier,0.7389847594954105,0.7982676540597725,0.8575505486241345,0.7963636363636364,0.5547445255474452,0.43582136023743884
2,2,RandomForestClassifier,0.7789615054127227,0.8327801639984381,0.8865988225841536,0.8218181818181818,0.5833333333333333,0.5320478930660169
3,3,RandomForestClassifier,0.8054434878490376,0.8543060200668895,0.9031685522847414,0.8109090909090909,0.6438356164383563,0.5591978112268017
4,4,RandomForestClassifier,0.7619658433615475,0.8154546628778094,0.8690481024121577,0.8072727272727273,0.5714285714285715,0.4921902508646076
5,5,RandomForestClassifier,0.8077332195832091,0.8552506533618438,0.9028979651103807,0.8072727272727273,0.6131386861313868,0.5613433402254836
6,6,RandomForestClassifier,0.7356594634258912,0.7934188643383226,0.8511782652507541,0.7672727272727272,0.5235602094240839,0.4559785816059291
7,7,RandomForestClassifier,0.7883092435009734,0.8391165251630369,0.8899238068251004,0.7927272727272727,0.5365853658536586,0.4991584731623054
8,8,RandomForestClassifier,0.7870361204581661,0.836554731224782,0.8869235659347483,0.8290909090909091,0.624,0.5501060420291124
9,9,RandomForestClassifier,0.7441949743280208,0.8012169725367696,0.8587727466350499,0.8,0.5210084033613446,0.46443123143249876
