Run_name,ML_model,Sub_up_sampling_method,Dataset,Splitters
RF_ADASYN_SF_B,RandomForestClassifier,ADASYN,SCAMS_filtered.csv,split_with_butina
RF_ADASYN_SF_SS,RandomForestClassifier,ADASYN,SCAMS_filtered.csv,split_with_scaffold_splitter
RF_SMOTE_SF_B,RandomForestClassifier,SMOTE,SCAMS_filtered.csv,split_with_butina
RF_SMOTE_SF_SS,RandomForestClassifier,SMOTE,SCAMS_filtered.csv,split_with_scaffold_splitter
RF_CNN_SF_B,RandomForestClassifier,CondensedNearestNeighbour,SCAMS_filtered.csv,split_with_butina
RF_CNN_SF_SS,RandomForestClassifier,CondensedNearestNeighbour,SCAMS_filtered.csv,split_with_scaffold_splitter
RF_IHT_SF_B,RandomForestClassifier,InstanceHardnessThreshold,SCAMS_filtered.csv,split_with_butina
RF_IHT_SF_SS,RandomForestClassifier,InstanceHardnessThreshold,SCAMS_filtered.csv,split_with_scaffold_splitter
RF_ADASYN_SP1_TTS,RandomForestClassifier,ADASYN,SCAMS_balanced_with_positive.csv,train_test_split
RF_SMOTE_SP1_TTS,RandomForestClassifier,SMOTE,SCAMS_balanced_with_positive.csv,train_test_split
RF_CNN_SP1_TTS,RandomForestClassifier,CondensedNearestNeighbour,SCAMS_balanced_with_positive.csv,train_test_split
RF_IHT_SP1_TTS,RandomForestClassifier,InstanceHardnessThreshold,SCAMS_balanced_with_positive.csv,train_test_split
RF_ADASYN_SP2_TTS,RandomForestClassifier,ADASYN,SCAMS_added_positives_653_1043.csv,train_test_split
RF_SMOTE_SP2_TTS,RandomForestClassifier,SMOTE,SCAMS_added_positives_653_1043.csv,train_test_split
RF_CNN_SP2_TTS,RandomForestClassifier,CondensedNearestNeighbour,SCAMS_added_positives_653_1043.csv,train_test_split
RF_IHT_SP2_TTS,RandomForestClassifier,InstanceHardnessThreshold,SCAMS_added_positives_653_1043.csv,train_test_split
ETC_N_SF_TTS,ExtraTreesClassifier,No sampling,SCAMS_filtered.csv,train_test_split
ETC_N_SP2_TTS,ExtraTreesClassifier,No sampling,SCAMS_added_positives_653_1043.csv,train_test_split
ETC_N_SP1_TTS,ExtraTreesClassifier,No sampling,SCAMS_balanced_with_positive.csv,train_test_split
LGBM_N_SF_TTS,LGBM,No sampling,SCAMS_filtered.csv,train_test_split
LGBM_N_SP2_TTS,LGBM,No sampling,SCAMS_added_positives_653_1043.csv,train_test_split
LGBM_N_SP1_TTS,LGBM,No sampling,SCAMS_balanced_with_positive.csv,train_test_split
XGBC_N_SF_TTS,XGBClassifier,No sampling,SCAMS_filtered.csv,train_test_split
LGBM_N_SP2_TTS,XGBClassifier,No sampling,SCAMS_added_positives_653_1043.csv,train_test_split
LGBM_N_SP1_TTS,XGBClassifier,No sampling,SCAMS_balanced_with_positive.csv,train_test_split
