,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7861219988792993,0.8376628409048974,0.8892036829304955,0.8176623376623379,0.6108319490586935,0.5222737937027292,0.6557607850739372,0.7736785036595285,0.8915962222451199,0.6400000000000001,0.7011904761904764,0.36305111822250524
1,1,LGBM,0.8205022341889324,0.8689773430033172,0.9174524518177021,0.833662337662338,0.6769976625152111,0.5706294836260342,0.6386421526533786,0.7583084846841965,0.8781827443333174,0.7120879120879122,0.6208235876560869,0.4482305972463394
2,2,LGBM,0.8059289826324362,0.8537828571428575,0.9030157323969947,0.8161038961038963,0.5991260794074282,0.4994465962244522,0.6692672858412496,0.7807806993765252,0.8922941129118005,0.6439560439560441,0.4149948040833793,0.3884987106779198
3,3,LGBM,0.7824409081009731,0.839829150050825,0.8972173920006771,0.8379220779220782,0.6459553349219338,0.5531640425005786,0.6679347691270029,0.782434264028192,0.8969337589293812,0.6602197802197804,0.4467727009832275,0.41757224584064356
4,4,LGBM,0.7402260665882583,0.8032984471228324,0.8663708276574066,0.8049870129870131,0.5971989027942347,0.48029321487942084,0.5998369928943517,0.7251287611818924,0.8510704282192698,0.6760439560439563,0.5631686447027857,0.3874794397964892
5,5,LGBM,0.7622880257119821,0.8175098331750987,0.8727316406382153,0.8022857142857145,0.5374560664961341,0.44155922274334625,0.615888166473237,0.7393602602331256,0.8635277959159187,0.6004395604395607,0.3222421959264065,0.30937655688370214
6,6,LGBM,0.7494285593979502,0.8083367162416505,0.867244873085351,0.8111168831168833,0.5711776540859455,0.5016759897877832,0.6734892045552037,0.7876389265383575,0.9017886485215113,0.6232967032967035,0.37533679759243677,0.34629113219093266
7,7,LGBM,0.789834526517019,0.8390514285714288,0.8889614407060245,0.8104935064935068,0.5935593424762174,0.4850079631922498,0.6559792075561149,0.7700731905665495,0.884167173576984,0.662857142857143,0.7011904761904764,0.3926094108764495
8,8,LGBM,0.7544160060736301,0.8131669196604264,0.8719178332472227,0.8150649350649353,0.6034876358884252,0.5064016148364414,0.6197380753087973,0.7459203036053135,0.8721025319018294,0.6514285714285716,0.4754011879593276,0.3596351318459726
9,9,LGBM,0.755900918033495,0.8125402930402932,0.8692190823499573,0.8049870129870133,0.6311907079203147,0.5047552677908691,0.6551179109109144,0.7723773380319873,0.8896367651530601,0.6597802197802201,0.47074188794244753,0.4024747946841357
