,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7592368721313909,0.8115580943121048,0.8638793164928187,0.7636363636363637,0.5911949685534591,0.4324889131598325,0.321947789830327,0.46489563567362424,0.6078434815169215,0.47692307692307695,0.29166666666666663,-0.07763670795248115
1,1,LGBM,0.7457985399975711,0.8017852775739791,0.8577720151503871,0.7636363636363637,0.5859872611464969,0.42819277779500764,0.4507107903058031,0.5910815939278936,0.7314523975499841,0.5538461538461539,0.45283018867924524,0.09814319724859472
2,2,LGBM,0.6886558038118912,0.7501547987616098,0.8116537937113285,0.7454545454545455,0.5679012345679013,0.389064358102471,0.38569957654440334,0.5294117647058824,0.6731239528673614,0.5538461538461539,0.45283018867924524,0.09814319724859472
3,3,LGBM,0.7101399153002347,0.7705633430309442,0.8309867707616537,0.730909090909091,0.5131578947368421,0.3272282464956361,0.4339740864882089,0.5749525616698291,0.7159310368514493,0.5230769230769231,0.41509433962264153,0.03304821948166965
4,4,LGBM,0.7449899955451733,0.8018352206169465,0.8586804456887196,0.7745454545454545,0.5441176470588236,0.406350715849358,0.28481489047780495,0.42694497153700184,0.5690750525961987,0.47692307692307695,0.3928571428571428,-0.058442790592989444
5,5,LGBM,0.722036807813154,0.7788717711108536,0.8357067344085531,0.730909090909091,0.6021505376344086,0.40026612128081585,0.36356599509200554,0.5075901328273245,0.6516142705626433,0.49230769230769234,0.3529411764705882,-0.03593573104529901
6,6,LGBM,0.8121370926498451,0.8593063402385437,0.9064755878272422,0.8109090909090909,0.5873015873015873,0.46688299540160527,0.42798313203637056,0.5702087286527516,0.7124343252691328,0.5076923076923077,0.3846153846153846,-0.0010133132207516948
7,7,LGBM,0.7599440177386931,0.8185333333333333,0.8771226489279735,0.7927272727272727,0.6225165562913908,0.4796880368663432,0.4631831577727543,0.6043643263757116,0.7455454949786688,0.5230769230769231,0.45614035087719296,0.03772465911208926
8,8,LGBM,0.7555224401609543,0.8068345795618521,0.85814671896275,0.7454545454545455,0.5138888888888888,0.34412046515471517,0.42444978086767965,0.5664136622390893,0.7083775436104989,0.5538461538461539,0.4727272727272728,0.09917529914658775
9,9,LGBM,0.7517254783055011,0.806651047767799,0.8615766172300968,0.7490909090909091,0.5660377358490566,0.3897927748542008,0.43004033606449543,0.5721062618595826,0.7141721876546697,0.6,0.5357142857142857,0.1948093019766315
