,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7352075136843081,0.7940813087996376,0.852955103914967,0.7879480519480522,0.5663988466199879,0.43559660729814786,0.6419999252623317,0.7569531038221744,0.871906282382017,0.6131868131868135,0.7011904761904764,0.321544484721234
1,1,LGBM,0.7326737465240811,0.7916273094797296,0.8505949347854325,0.7798441558441561,0.5503592846769841,0.4113235432245128,0.6973140314726398,0.7777988614800762,0.9439979772017981,0.6184615384615387,0.7011904761904764,0.3441676108261502
2,2,LGBM,0.7299964607168974,0.7891544187100922,0.848312376703287,0.7774545454545456,0.5415327470169541,0.40525319707876784,0.6365039389720983,0.7554079696394689,0.8743120003068395,0.6281318681318684,0.7011904761904764,0.36518060437139305
3,3,LGBM,0.7344923976706484,0.7934673366834174,0.8524422756961861,0.8003116883116881,0.5778015219223152,0.4449655639761194,0.6671249294216863,0.780292762266197,0.8934605951107077,0.6509890109890111,0.7011904761904764,0.3898436156529845
4,4,LGBM,0.7332002423599655,0.7909169909698873,0.8490755362570912,0.7823376623376626,0.543234612991094,0.408770876762621,0.6427852284641367,0.7623881810788834,0.88199113369363,0.6114285714285717,0.7011904761904764,0.3305280300179668
5,5,LGBM,0.7306659819291793,0.789405674991499,0.8484612370685041,0.7822337662337664,0.550004563470924,0.41713862974578375,0.7398333883469193,0.8402412577934403,0.9406491272399611,0.611868131868132,0.7011904761904764,0.3269500029250876
6,6,LGBM,0.7358238115175312,0.7936543620357427,0.8515436954941713,0.7825454545454548,0.5577771289137117,0.4225544043689262,0.6291526094399595,0.7481431282190298,0.8671336469981001,0.6153846153846156,0.7011904761904764,0.3384529032623531
7,7,LGBM,0.7300156573934753,0.7892280953640384,0.8484405333346017,0.7924155844155847,0.5785918929378107,0.44946167132166315,0.751255400462737,0.8174844131200871,0.9694277114917229,0.6690109890109892,0.7011904761904764,0.4144360465109175
8,8,LGBM,0.7421412723046619,0.7995503834964297,0.8570654901211622,0.7861818181818185,0.557121994054539,0.42487000657521995,0.640995929485431,0.7572241799945787,0.8741445029637198,0.6386813186813188,0.7011904761904764,0.37872134247415595
9,9,LGBM,0.7332307087195311,0.7928288056825483,0.8524269026455655,0.7829610389610392,0.5712938763536684,0.4310796144761064,0.6058385969785188,0.7305638384386015,0.8552890798986841,0.6874725274725277,0.7011904761904764,0.4504484797894013
