,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7143922711980535,0.7761835493255753,0.8379748274530971,0.76,0.5657894736842105,0.3999603279555673,0.45406037673883426,0.5967741935483871,0.73948801035794,0.5538461538461539,0.3829787234042554,0.09790653254178405
1,1,LGBM,0.6922097467638668,0.7560830468130124,0.819956346862158,0.7272727272727273,0.5161290322580646,0.32647318342207,0.48729277133827,0.6261859582542694,0.7650791451702688,0.5846153846153846,0.47058823529411764,0.16427762763565265
2,2,LGBM,0.7106481234956907,0.7709600634752711,0.8312720034548515,0.7490909090909091,0.5490196078431372,0.3752417501244616,0.43949487181877456,0.5806451612903226,0.7217954507618707,0.5384615384615384,0.39999999999999997,0.06355559856574038
3,3,LGBM,0.699532331223619,0.7634223750330601,0.8273124188425012,0.7490909090909091,0.5490196078431372,0.3752417501244616,0.47725575812968013,0.616698292220114,0.7561408263105478,0.5384615384615384,0.34782608695652173,0.0618602616152682
4,4,LGBM,0.7118740152894523,0.773406506215287,0.8349389971411216,0.7563636363636363,0.5732484076433121,0.4034073884163627,0.4660616357398545,0.6053130929791272,0.7445645502183998,0.5384615384615384,0.34782608695652173,0.0618602616152682
5,5,LGBM,0.7029693759866894,0.7648108965882041,0.8266524171897188,0.72,0.5095541401273886,0.3142153705561764,0.5047027783433122,0.6413662239089183,0.7780296694745243,0.5692307692307692,0.41666666666666663,0.13262937608548864
6,6,LGBM,0.7141326568212005,0.7747289076963767,0.8353251585715529,0.7454545454545455,0.5454545454545455,0.36878826443484625,0.4554896380903445,0.5958254269449715,0.7361612157995986,0.49230769230769234,0.2978723404255319,-0.045103009373181416
7,7,LGBM,0.7023502928696674,0.7655382174028035,0.8287261419359395,0.7418181818181818,0.5298013245033113,0.351881881715103,0.4854797373143739,0.6233396584440228,0.7611995795736718,0.5538461538461539,0.43137254901960786,0.09753984140866875
8,8,LGBM,0.7108216847077738,0.7722824649563607,0.8337432452049475,0.7527272727272727,0.5584415584415585,0.3868275338620221,0.4923610482525196,0.6318785578747629,0.7713960674970062,0.5692307692307692,0.41666666666666663,0.13262937608548864
9,9,LGBM,0.7149866712022591,0.7755884686590848,0.8361902661159105,0.7527272727272727,0.5641025641025641,0.3919230965057057,0.501399995600172,0.6404174573055029,0.7794349190108338,0.5846153846153846,0.4489795918367347,0.1662624460141203
