,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.8104324795822994,0.8588019047619051,0.9071713299415107,0.817662337662338,0.6218967655618987,0.5121530364420448,0.6942474958412268,0.8030360531309301,0.9123615120789882,0.6619780219780222,0.4504708299830253,0.42035908106167635
1,1,LGBM,0.8193880786877572,0.8693637359730988,0.9194319747680756,0.8395844155844159,0.6695314556886532,0.5763103103487016,0.662975583312484,0.777609108159393,0.8935157734237913,0.6509890109890111,0.4353241528851286,0.3974466028420236
2,2,LGBM,0.7508286125750896,0.8051671732522799,0.8595057339294703,0.7838961038961041,0.5901319898360681,0.4677411824161518,0.623222325097059,0.7475467606397399,0.872667305903483,0.6109890109890113,0.349432942937436,0.3199003570122083
3,3,LGBM,0.7383669845844221,0.796416577480902,0.8544661703773824,0.8021818181818186,0.5871199511617352,0.48009048848447844,0.7010562870196642,0.809921387910003,0.9196162263661315,0.670769230769231,0.47486940438159964,0.437007052398358
4,4,LGBM,0.808564195126838,0.8545923328008891,0.9006204704749403,0.808831168831169,0.6629437116364114,0.5412390509395392,0.6897470892139018,0.79937652480347,0.9090059603930383,0.6421978021978023,0.4002902266060162,0.3855080878679661
5,5,LGBM,0.7827510186380732,0.8321589931153186,0.8815669675925641,0.7902337662337665,0.5865367412581345,0.46651794961222925,0.6725634102077217,0.7830441854161022,0.8935249606244826,0.6074725274725277,0.3503817235396184,0.3114145911328272
6,6,LGBM,0.7657737145496076,0.8224642033674997,0.8791546921853917,0.8065454545454548,0.5837338464365005,0.46534223465951985,0.6610590220972724,0.7771753862835459,0.8932917504698193,0.6514285714285717,0.4527472527472528,0.38245029806866704
7,7,LGBM,0.7765759474334071,0.8303553113553115,0.8855020901797352,0.8101818181818183,0.610452224149493,0.50786783002202,0.6248537800336799,0.7474925454052591,0.8701313107768384,0.6360439560439561,0.42834016158057986,0.3404616989964934
8,8,LGBM,0.7773314682798959,0.8316394948784109,0.8859475214769272,0.8280519480519484,0.6170302995763404,0.5204010068966662,0.636628016989663,0.7581729465979942,0.8797178762063254,0.6602197802197804,0.4731640949062552,0.38810911498480005
9,9,LGBM,0.7646659267492393,0.8187607573149743,0.8728555878807095,0.7877402597402601,0.5962829408034889,0.4659017622209647,0.6729610401372199,0.7936297099484957,0.9144570391523572,0.6536263736263738,0.49821428571428683,0.36795018298071575
