,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.733482903608945,0.7907333333333333,0.8479837630577216,0.76,0.576923076923077,0.4103472672323844,0.4492784170162067,0.5910815939278936,0.7328847708395805,0.5076923076923077,0.40740740740740744,0.0019820797612040177
1,1,LGBM,0.757761482041198,0.8134091510182492,0.8690568199953004,0.7672727272727272,0.6049382716049383,0.4425714815906916,0.4169109008799313,0.5597722960151802,0.7026336911504291,0.5538461538461539,0.4727272727272728,0.09917529914658775
2,2,LGBM,0.6820663130370901,0.7428466617754953,0.8036270105139005,0.7236363636363636,0.5421686746987951,0.34573269679709545,0.4638809271246036,0.603415559772296,0.7429501924199884,0.5076923076923077,0.40740740740740744,0.0019820797612040177
3,3,LGBM,0.6734435523347759,0.7379876001033324,0.8025316478718889,0.7272727272727273,0.4966442953020135,0.31161487919005887,0.49511761763723927,0.6318785578747629,0.7686394981122865,0.5384615384615384,0.375,0.06254068140616538
4,4,LGBM,0.704414558937899,0.7640982012639765,0.8237818435900541,0.7236363636363636,0.5421686746987951,0.34656751893384624,0.4278699428165538,0.5692599620493358,0.7106499812821179,0.5692307692307692,0.4814814814814815,0.13081726423946516
5,5,LGBM,0.6939788590270461,0.753890562248996,0.8138022654709458,0.7090909090909091,0.5180722891566265,0.3097389558232932,0.40288211723426093,0.5464895635673624,0.690097009900464,0.47692307692307695,0.34615384615384615,-0.06687867256961186
6,6,LGBM,0.7026337491123397,0.7650210226502103,0.827408296188081,0.7454545454545455,0.5270270270270272,0.3530015067193066,0.40283960955277454,0.5455407969639469,0.6882419843751192,0.5230769230769231,0.43636363636363634,0.035349611577001575
7,7,LGBM,0.7090459023825547,0.7717307692307692,0.8344156360789837,0.7454545454545455,0.527027027027027,0.3566506857397729,0.4519599675125956,0.5920303605313094,0.7321007535500232,0.5692307692307692,0.41666666666666663,0.13262937608548864
8,8,LGBM,0.7127135239654724,0.77292008757526,0.8331266511850476,0.7418181818181818,0.49645390070921985,0.32309766186678684,0.4302046170994319,0.5721062618595826,0.7140079066197332,0.5076923076923077,0.42857142857142855,0.004870232549415787
9,9,LGBM,0.7141454983680728,0.7730923694779116,0.8320392405877504,0.7236363636363636,0.5308641975308642,0.3353625200358778,0.42584047959374605,0.5673624288425047,0.7088843780912633,0.5538461538461539,0.3829787234042554,0.09790653254178405
