,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7756431477417314,0.8135711733782474,0.8514991990147635,0.7675554308167278,0.8235540069686413,0.5042398428926305,0.6743196147262771,0.7883166169693686,0.9023136192124601,0.7230769230769233,0.7131885012069347,0.4455008089418937
1,1,LGBM,0.7765547197757302,0.8137784932689394,0.8510997806334457,0.7525119281504352,0.8938725915639649,0.47035150685538374,0.6683224524024175,0.7835727839522908,0.898823115502164,0.7643956043956046,0.7565476190476192,0.527239542615983
2,2,LGBM,0.7660717371843812,0.8040844489271963,0.8420971606700115,0.7498737019365705,0.803202928263525,0.46996946128658795,0.571015121573854,0.7058552453239364,0.8406953690740187,0.6909890109890111,0.6803133469231553,0.3794831163422475
3,3,LGBM,0.7689302618948042,0.8069881710646043,0.8450691503561878,0.7536345776031437,0.8056802188015479,0.47299811037752554,0.6083966019557956,0.7352127947953377,0.8624719477889886,0.7094505494505496,0.7168381731982516,0.41794067576991745
4,4,LGBM,0.7383868692762322,0.7789849454028561,0.81958302152948,0.7371877631209657,0.7853700174599093,0.44688883939156676,0.5689178475882155,0.6989970181621037,0.8290761887359919,0.6729670329670332,0.6648186348337182,0.3458082577641172
5,5,LGBM,0.7781212098713711,0.8167550075585793,0.8553888052457874,0.7718214987370197,0.827484302490169,0.49827632702879654,0.5708737240521402,0.701518026565465,0.8346990597516214,0.7292307692307695,0.7368434032625681,0.4665081616580962
6,6,LGBM,0.7435542351105601,0.7835896424815986,0.823625049852637,0.7429694078024138,0.8028408094656462,0.43941961689268505,0.6077756742505527,0.7328273244781786,0.8578789747058045,0.7239560439560442,0.7147250566893426,0.44761022138972983
7,7,LGBM,0.7495647106873992,0.7907237020865934,0.8318826934857876,0.7554869492001126,0.8000892914978173,0.48588719848919737,0.6474948057414728,0.7665220927080514,0.8855493796746299,0.7243956043956046,0.7238081038867163,0.45275271548446294
8,8,LGBM,0.7832181270759104,0.8192201883156418,0.8552222495553732,0.7529048554588832,0.8054854013693393,0.4777070928847195,0.6036163914554759,0.7300216860937927,0.8564269807321094,0.713846153846154,0.7178435173255192,0.42866249077193974
9,9,LGBM,0.7723770332766084,0.8106907383434718,0.8490044434103351,0.7614089250631493,0.8166890956424175,0.48608880720966924,0.6605333842986607,0.7756031444836,0.8913608897561729,0.7498901098901102,0.7369831514695432,0.5009807376823001
