,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7790126942239953,0.8160219558933386,0.8530312175626819,0.7367387033398821,0.7886435331230284,0.44057074277146024,0.5851162089326117,0.7106261859582544,0.8361361629838971,0.6,0.5517241379310345,0.19520999578988854
1,1,LGBM,0.7687653853983685,0.8068267189286296,0.8448880524588906,0.75049115913556,0.8,0.4687155535687435,0.5821026592438612,0.7096774193548389,0.8372521794658165,0.6307692307692307,0.5714285714285714,0.2581223251190367
2,2,LGBM,0.764495299533833,0.8023267008985879,0.8401581022633429,0.730844793713163,0.7814992025518341,0.43329873009484277,0.5362433581582924,0.6717267552182163,0.8072101522781403,0.6153846153846154,0.5762711864406779,0.22680266997410503
3,3,LGBM,0.745599726200644,0.7864282214600684,0.8272567167194929,0.7465618860510805,0.7981220657276996,0.4585133736497974,0.573094579832086,0.7039848197343453,0.8348750596366047,0.5846153846153846,0.509090909090909,0.1630009867161739
4,4,LGBM,0.7305141439421036,0.7717096336499322,0.8129051233577608,0.7190569744597249,0.767479674796748,0.4126468157981144,0.5794634536818335,0.7077798861480075,0.8360963186141814,0.6307692307692307,0.625,0.2625593596547331
5,5,LGBM,0.7620704673438861,0.8009259259259259,0.8397813845079658,0.7347740667976425,0.7913446676970634,0.4277685829169084,0.5959091396450584,0.7210626185958254,0.8462160975465924,0.6,0.5357142857142857,0.1948093019766315
6,6,LGBM,0.7271428532699649,0.7687302839116719,0.8103177145533789,0.7072691552062869,0.7668231611893584,0.3738305244793604,0.5464730877443735,0.6774193548387096,0.8083656219330457,0.6461538461538462,0.6101694915254238,0.28900593389105367
7,7,LGBM,0.7411888731724986,0.7818095363022233,0.822430199431948,0.724950884086444,0.7763578274760383,0.4194300725742542,0.6166124865363461,0.7390891840607211,0.8615658815850961,0.6615384615384615,0.5925925925925926,0.3240700409568569
8,8,LGBM,0.767982617247532,0.8060815790316896,0.8441805408158473,0.75049115913556,0.7968,0.4758906818078285,0.6305382528850452,0.7504743833017077,0.8704105137183702,0.6461538461538462,0.5964912280701755,0.28922238652601767
9,9,LGBM,0.7501823320844186,0.7902172853941343,0.8302522387038499,0.7485265225933202,0.8072289156626508,0.45729074949040815,0.5624939347143783,0.691650853889943,0.8208077730655077,0.5846153846153846,0.509090909090909,0.1630009867161739
