,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6651998329786174,0.7135189987597251,0.7618381645408328,0.7474038731406121,0.5025601761138898,0.23620249701049106,0.6423241336761902,0.7622661968013014,0.882646109893627,0.735824175824176,0.7306075479674035,0.4826212967604576
1,1,LGBM,0.6718427776906444,0.7197842672980795,0.7677257569055149,0.7474038731406121,0.5062703206217889,0.2339554296084348,0.6795139904605149,0.7951477365139608,0.9119032171492102,0.7463736263736267,0.7548440131297276,0.4961583019250239
2,2,LGBM,0.7033990157976178,0.7487181139227594,0.7940372120479013,0.7474038731406121,0.5246063978093405,0.2735419491633692,0.6578776491885643,0.7772024939007864,0.8965273386130086,0.7221978021978024,0.7276861071664538,0.4411798044101066
3,3,LGBM,0.6985674218129924,0.7438928531159902,0.7892182844189879,0.7474038731406121,0.5136515730982001,0.2547918620637654,0.7265801226740438,0.8290322580645164,0.931484393454989,0.7494505494505498,0.7792527278085011,0.5426062888226946
4,4,LGBM,0.663865552919172,0.7124575165504246,0.7621980327151652,0.7474038731406121,0.504415544954607,0.23605896791787953,0.6502948317347713,0.7693955001355384,0.8884961685363055,0.7375824175824177,0.7565317410536092,0.5029597965121984
5,5,LGBM,0.6670261407287419,0.7154551165375387,0.7638840923463354,0.7474038731406121,0.5044175824815698,0.24146372427710977,0.6856117800490416,0.79937652480347,0.9131412695578986,0.7749450549450552,0.798712998712999,0.5871613349565676
6,6,LGBM,0.6650113408062457,0.7136113482488499,0.762211355691454,0.7474038731406121,0.4989548505915301,0.2250300070089536,0.6682216336454428,0.7820276497695855,0.8979355739672902,0.7081318681318683,0.7437560568086886,0.4572870434171846
7,7,LGBM,0.6847408188319601,0.7313139936321809,0.7785799382778825,0.7474038731406121,0.5150920728689727,0.26332427598573277,0.6979902253702182,0.8075630252100843,0.9171358250499505,0.7424175824175827,0.7635603781241852,0.5034535159253127
8,8,LGBM,0.6740845783930756,0.7215593103855592,0.7690340423780427,0.7474038731406121,0.5026480756373011,0.23785865368045098,0.6119515144843868,0.735782054757387,0.8596125950303873,0.6602197802197803,0.7223167338990126,0.39608472300264236
9,9,LGBM,0.6768897786986662,0.7247893948423886,0.7726890109861108,0.7474038731406121,0.5049901415030984,0.24067199675231163,0.6542460052020016,0.7767416644076988,0.8992373236133959,0.7151648351648354,0.7405690512019627,0.44612777228301004
