,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6387712093585941,0.6880708084338707,0.7373704075091473,0.5009823182711198,0.4980237154150197,0.21223194461084602,0.581877510851879,0.7106261859582544,0.8393748610646299,0.676923076923077,0.6865671641791045,0.3613005770467898
1,1,LGBM,0.6440078703650878,0.6935017100762957,0.7429955497875036,0.48722986247544203,0.495164410058027,0.20571775343426296,0.5683150275935831,0.6973434535104365,0.8263718794272898,0.6461538461538462,0.6666666666666666,0.30483531362263383
2,2,LGBM,0.6316563453157573,0.6819070169504264,0.7321576885850956,0.4774066797642436,0.48046875,0.16926978500885256,0.5754366770733191,0.7039848197343453,0.8325329623953716,0.6461538461538462,0.6567164179104478,0.299336098133752
3,3,LGBM,0.6300886750415828,0.6799714360882475,0.7298541971349122,0.48919449901768175,0.4861660079051384,0.18370644690635154,0.5961894960563238,0.7229601518026564,0.849730807548989,0.6615384615384615,0.676470588235294,0.3330267052784327
4,4,LGBM,0.6445662686804192,0.6940654714924643,0.7435646743045095,0.48330058939096265,0.48932038834951463,0.1910296469474012,0.5853612936094248,0.7125237191650854,0.839686144720746,0.6461538461538462,0.6567164179104478,0.299336098133752
5,5,LGBM,0.6398177939314271,0.6896493403991432,0.7394808868668592,0.5049115913555993,0.4980079681274901,0.2120989579761543,0.5854836382892212,0.7125237191650854,0.8395638000409495,0.6461538461538462,0.6666666666666666,0.30483531362263383
6,6,LGBM,0.6404663346555353,0.6900815574848723,0.7396967803142094,0.48722986247544203,0.49320388349514555,0.20071624689721465,0.5782923514003436,0.7068311195445921,0.8353698876888406,0.6615384615384615,0.676470588235294,0.3330267052784327
7,7,LGBM,0.6444469063467424,0.693633254406735,0.7428196024667275,0.4793713163064833,0.48543689320388345,0.18134304699758777,0.6017594939310726,0.7267552182163187,0.8517509425015648,0.6615384615384615,0.676470588235294,0.3330267052784327
8,8,LGBM,0.6456784186633665,0.6947231931446611,0.7437679676259558,0.4931237721021611,0.4880952380952382,0.1884754713111856,0.579337592971561,0.7077798861480075,0.836222179324454,0.6615384615384615,0.6857142857142857,0.3395219320088034
9,9,LGBM,0.65501439440738,0.7041004247002669,0.7531864549931538,0.4931237721021611,0.49011857707509876,0.19321494614118304,0.5710618820765021,0.700189753320683,0.8293176245648639,0.6615384615384615,0.6666666666666666,0.3279473607173319
