,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7767474838098315,0.8146462370437136,0.8525449902775959,0.7561605388717376,0.8087320057648849,0.47423387611670653,0.6736685044240407,0.7876931417728383,0.9033120090816783,0.7635164835164838,0.7656566492127819,0.5318591526995564
1,1,LGBM,0.7534186133590655,0.7929173816217009,0.8324161498843365,0.7479090653943308,0.8171492086175904,0.471630540552171,0.6136305148870262,0.7375169422607756,0.8614033696345249,0.7050549450549453,0.7075680272108846,0.4081808242475281
2,2,LGBM,0.7806991683205351,0.8190998573121481,0.8579018968763041,0.7760875666573115,0.8324850599073075,0.5013715936177767,0.6144457136905921,0.736812144212524,0.8591785747344558,0.6927472527472529,0.6834891778328449,0.3851121812278077
3,3,LGBM,0.7837881964516031,0.8212387676508346,0.8586893388500662,0.771989896154926,0.8190572166548402,0.5195633140217425,0.6458797017709772,0.7650311737598268,0.8870873853760727,0.7367032967032969,0.7071571786609383,0.47268999077646634
4,4,LGBM,0.7483350851959082,0.7900236774551721,0.8317122697144359,0.7564412012349147,0.814200110864697,0.4643803261494456,0.6271832020669773,0.7480346977500679,0.8688861934331584,0.72967032967033,0.7270325576063283,0.4599634277834386
5,5,LGBM,0.7946742099583822,0.8299132807171394,0.8651523514758966,0.760763401627842,0.8102201266047013,0.494102202674908,0.6813884447665279,0.7940363242071025,0.9068184986139579,0.7490109890109892,0.7304018383849182,0.49654871543551404
6,6,LGBM,0.7439896024732808,0.7853743834303484,0.8267591643874158,0.7525119281504352,0.8300970873786411,0.46175617948108805,0.6261425991636691,0.7463404716725405,0.8665383441814113,0.7037362637362639,0.7256787932564333,0.42633837338750247
7,7,LGBM,0.7864777226648424,0.8237534639273771,0.8610292051899119,0.7713724389559362,0.8461801986981845,0.495149804370887,0.6121080874703064,0.7346706424505289,0.8572331974307514,0.7270329670329673,0.7011904761904764,0.4569038015573634
8,8,LGBM,0.7769792119097707,0.8152992151119125,0.8536840589719106,0.7749649172046031,0.8333448633690768,0.5230004605185953,0.6066484846860135,0.7319327731092441,0.8576710570899424,0.7103296703296705,0.7011904761904764,0.41887340160835707
9,9,LGBM,0.8090424850382776,0.843351388629474,0.8776602922206703,0.7731125456076342,0.8213432354637464,0.51083534864983,0.6714037718064403,0.7822174030902687,0.8930310343740969,0.7129670329670332,0.7431765465591988,0.45396844928206476
