,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7631501881620724,0.8015740010515247,0.839997813940977,0.730844793713163,0.784251968503937,0.42655571326900943,0.6355315180041127,0.7552182163187856,0.8749049146334585,0.676923076923077,0.6181818181818182,0.35447804942493244
1,1,LGBM,0.7401231009988996,0.7803475594173269,0.8205720178357543,0.7151277013752456,0.7657512116316638,0.4040319714405875,0.560923747394291,0.6925996204933585,0.8242754935924261,0.6461538461538462,0.6229508196721313,0.28992447831532236
2,2,LGBM,0.7616482521860386,0.8008125952260032,0.8399769382659679,0.7269155206286837,0.7871362940275652,0.4066181035282233,0.6155704145053315,0.7381404174573055,0.8607104204092796,0.6461538461538462,0.5660377358490567,0.29342813054936995
3,3,LGBM,0.7710993046366742,0.8086489088575097,0.8461985130783453,0.7426326129666012,0.7883683360258482,0.4607853271787533,0.5592843573124745,0.6888045540796964,0.8183247508469184,0.6,0.5185185185185185,0.19523485647859573
4,4,LGBM,0.7480505864407307,0.7898495366526056,0.8316484868644805,0.7485265225933202,0.803076923076923,0.4554812854657807,0.5410033919695956,0.6736242884250475,0.8062451848804995,0.5692307692307692,0.5333333333333333,0.13441525425751283
5,5,LGBM,0.7830966572417974,0.8198869726200915,0.8566772879983855,0.762278978388998,0.8063999999999999,0.4985688703181221,0.6256266693286887,0.7466793168880456,0.8677319644474024,0.6615384615384615,0.5769230769230769,0.3283134835235491
6,6,LGBM,0.740404837962964,0.781345115365734,0.8222853927685041,0.730844793713163,0.7933634992458523,0.4143805004878013,0.6081855712908315,0.7314990512333964,0.8548125311759613,0.6307692307692307,0.5862068965517241,0.25771565946645386
7,7,LGBM,0.7582764486477581,0.7976923076923077,0.8371081667368573,0.730844793713163,0.7901990811638592,0.41491276928201076,0.5871060612967156,0.7144212523719166,0.8417364434471175,0.6461538461538462,0.5964912280701755,0.28922238652601767
8,8,LGBM,0.758746430842091,0.7989616193480547,0.8391768078540183,0.7406679764243614,0.7870967741935483,0.45663172689508025,0.6141842904269765,0.7371916508538899,0.8601990112808033,0.6461538461538462,0.5964912280701755,0.28922238652601767
9,9,LGBM,0.793197809463088,0.8297294579100876,0.8662611063570871,0.762278978388998,0.8088467614533966,0.49687138224094546,0.5928886931598611,0.7191650853889943,0.8454414776181274,0.6461538461538462,0.5660377358490567,0.29342813054936995
