,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7291510456375387,0.790910313298373,0.8526695809592073,0.7927272727272727,0.5365853658536585,0.42457132559581034,0.6086530119162354,0.7362428842504743,0.8638327565847133,0.6153846153846154,0.3902439024390244,0.27581484965833075
1,1,LGBM,0.7309163573473137,0.7941886899687411,0.8574610225901685,0.7963636363636364,0.5555555555555555,0.42681659466831334,0.5940579275149144,0.7210626185958254,0.8480673096767365,0.6307692307692307,0.39999999999999997,0.3306598534393704
2,2,LGBM,0.7712818649443739,0.8255128205128205,0.8797437760812671,0.7818181818181819,0.5774647887323943,0.43997237540488976,0.6533230497166833,0.7722960151802657,0.8912689806438481,0.5846153846153846,0.30769230769230765,0.20482625174012936
3,3,LGBM,0.7641517789303853,0.8174244381296822,0.8706970973289792,0.76,0.4761904761904762,0.3522174313034745,0.6460429162145787,0.7675521821631878,0.8890614481117969,0.5846153846153846,0.27027027027027023,0.22755839596089147
4,4,LGBM,0.7796564561124347,0.8337876722701801,0.8879188884279255,0.7963636363636364,0.5555555555555557,0.4236130372543358,0.5665791687355753,0.6992409867172676,0.8319028046989599,0.6,0.38095238095238093,0.22622443021996258
5,5,LGBM,0.7416701944247479,0.7972532588454377,0.8528363232661276,0.7345454545454545,0.5034013605442177,0.3767735722349552,0.6137288108319592,0.7352941176470588,0.8568594244621583,0.6307692307692307,0.39999999999999997,0.3306598534393704
6,6,LGBM,0.7441702638123274,0.8028933092224231,0.8616163546325187,0.7781818181818182,0.5271317829457365,0.4091437461475183,0.5916502990293376,0.7191650853889943,0.8466798717486509,0.5846153846153846,0.30769230769230765,0.20482625174012936
7,7,LGBM,0.7055516778044478,0.7678014376780145,0.8300511975515811,0.7527272727272727,0.49253731343283585,0.3331355822248133,0.5789562847485183,0.708728652751423,0.8385010207543278,0.5384615384615384,0.2105263157894737,0.06573325424459568
8,8,LGBM,0.7725564842966303,0.8263022743947175,0.8800480644928047,0.7709090909090909,0.5594405594405594,0.43267732371909,0.6100271426847395,0.7343453510436434,0.8586635594025473,0.6153846153846154,0.3902439024390244,0.27581484965833075
9,9,LGBM,0.7483499672968287,0.8031598954621051,0.8579698236273815,0.7272727272727273,0.46808510638297873,0.3344716352555414,0.5887967376822975,0.7153700189753319,0.8419433002683664,0.5846153846153846,0.27027027027027023,0.22755839596089147
