,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7877161712959749,0.8398858911985849,0.8920556111011947,0.8192207792207795,0.640809058160337,0.5536447644674465,0.6896822046054738,0.7970452697207918,0.9044083348361097,0.6193406593406596,0.7011904761904764,0.35175033635068226
1,1,LGBM,0.7601914975287446,0.8178740966073126,0.8755566956858807,0.8105974025974028,0.6140675703134799,0.4926726819135207,0.6522671245765608,0.7685009487666037,0.8847347729566465,0.674725274725275,0.5657609329446066,0.41488963156887393
2,2,LGBM,0.8728004249691876,0.9099979546680056,0.9471954843668237,0.8351168831168835,0.6941217994725399,0.5831372251682647,0.6205337440630727,0.7447004608294934,0.8716117255588116,0.6417582417582419,0.4339102379373791,0.35371483766502354
3,3,LGBM,0.7679949696141464,0.8246443911418533,0.8812938126695603,0.813714285714286,0.6204630508015401,0.5094870487358338,0.6465078161616552,0.7667931688804557,0.8870785215992563,0.6536263736263738,0.45681230102282744,0.40174478986524526
4,4,LGBM,0.8030856345563766,0.8509580952380955,0.8995609758783074,0.8155844155844159,0.6335447672913813,0.5148187894682998,0.653130763076395,0.7688804554079697,0.8850323165431021,0.6298901098901101,0.37758624360128135,0.36203904863839076
5,5,LGBM,0.796385987547631,0.847278911564626,0.8989848395298152,0.824727272727273,0.6323904302696122,0.5233788884740799,0.6423029840525565,0.7615342911358094,0.8807655982190624,0.6729670329670332,0.5430791595083919,0.37730194606280465
6,6,LGBM,0.750282445738453,0.8046773330571811,0.8590722203759091,0.7804675324675326,0.6069618277933184,0.47140435879464726,0.5802586563873087,0.7139604228788292,0.8476621893703497,0.6641758241758243,0.4569924812030077,0.42486961663884176
7,7,LGBM,0.8169722900301467,0.8624629538718889,0.9086848038446639,0.8134025974025976,0.6025017470510754,0.5194722892173143,0.7080105671914134,0.8144212523719166,0.92083193755242,0.6931868131868135,0.6735119047619065,0.4788717055011297
8,8,LGBM,0.760844679371402,0.8151400524043255,0.8728919300420784,0.8023896103896105,0.6050417518708935,0.48250263808100535,0.6476874533079942,0.7628083491461102,0.8782190037247826,0.6452747252747255,0.46354613541389345,0.3705417510652641
9,9,LGBM,0.7613619351766154,0.817520896896608,0.8736798586166006,0.797922077922078,0.5764263217698335,0.4798517456424688,0.6266900654769001,0.7476280834914611,0.8723425843225475,0.6452747252747254,0.4579352647654995,0.38336280167608994
