,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6854294832004773,0.7468730650154798,0.8083166468304823,0.6836363636363636,0.5756097560975609,0.34762765260120543,0.5009680677695647,0.6375711574952562,0.7741742472209476,0.6153846153846154,0.6376811594202899,0.24232964994606854
1,1,LGBM,0.7270566431511174,0.7878746778787467,0.8486927126063759,0.6618181818181819,0.5279187817258884,0.31583291985496703,0.5536222159980496,0.6840607210626185,0.8144992261271874,0.6461538461538462,0.5306122448979592,0.3039319872996976
2,2,LGBM,0.8259600043999739,0.8709488481062085,0.9159376918124432,0.7781818181818182,0.7024390243902439,0.5821819996050781,0.4191169170328939,0.562618595825427,0.70612027461796,0.5384615384615384,0.5000000000000001,0.072450775344475
3,3,LGBM,0.7257056763516654,0.7856306130417806,0.8455555497318958,0.7236363636363636,0.5824175824175823,0.3909660230773698,0.5483306301979838,0.6831119544592031,0.8178932787204225,0.676923076923077,0.6440677966101694,0.3512091978080023
4,4,LGBM,0.7677892946510124,0.8226,0.8774107053489876,0.7454545454545455,0.6276595744680851,0.46769135678890617,0.4955940509273419,0.6366223908918408,0.7776507308563397,0.6461538461538462,0.5964912280701755,0.28922238652601767
5,5,LGBM,0.7890984088902936,0.8389436234263818,0.8887888379624701,0.7527272727272727,0.6304347826086957,0.48276935240221674,0.5765931181409547,0.7115749525616698,0.8465567869823849,0.676923076923077,0.6181818181818182,0.35447804942493244
6,6,LGBM,0.6965984809531042,0.7563730820345536,0.8161476831160029,0.68,0.5555555555555556,0.31340138575285403,0.464561951590398,0.6062618595825425,0.747961767574687,0.5846153846153846,0.5423728813559322,0.1645994060571564
7,7,LGBM,0.748879137074596,0.803423698612702,0.8579682601508081,0.7454545454545455,0.5977011494252873,0.414930762196707,0.562587264931186,0.6982922201138521,0.8339971752965181,0.7076923076923077,0.6666666666666667,0.41497125023298187
8,8,LGBM,0.7469104008806107,0.8028933092224231,0.8588762175642355,0.7090909090909091,0.6116504854368933,0.42743724352144263,0.466996409395702,0.6081593927893739,0.7493223761830459,0.5846153846153846,0.5846153846153845,0.17172675521821631
9,9,LGBM,0.7266052049909798,0.7854795905472008,0.8443539761034219,0.72,0.5698324022346369,0.36726435849832145,0.4814553189701005,0.6214421252371917,0.7614289315042828,0.6307692307692307,0.5862068965517241,0.25771565946645386
