,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7350913549464339,0.7935410133373637,0.8519906717282937,0.8003116883116881,0.5458336932044039,0.40630537149112667,0.6266254445325878,0.7466251016535648,0.8666247587745418,0.6153846153846156,0.7011904761904764,0.3413613189600862
1,1,LGBM,0.7350630096732204,0.7929723807004951,0.8520082694985086,0.7929350649350653,0.5622610076064798,0.43492110695917097,0.7078692954193175,0.8026836541068044,0.9238466167520034,0.6791208791208794,0.7011904761904764,0.39980913291151937
2,2,LGBM,0.7302685083304308,0.788665130162089,0.847061751993747,0.8003116883116881,0.5697346409207925,0.4406757148996417,0.6162889780970695,0.7417457305502848,0.8729469449381466,0.6457142857142859,0.7011904761904764,0.34054639317821367
3,3,LGBM,0.7349709990219204,0.7934031057543358,0.8518352124867512,0.7814025974025977,0.559714505413939,0.4217749124887348,0.5924112329482438,0.7174573055028466,0.8427331791664039,0.6145054945054947,0.7011904761904764,0.3417773927461339
4,4,LGBM,0.7325806017130114,0.7909755544640498,0.8494499564546619,0.8003116883116881,0.5539467480582646,0.4025990456504651,0.6989368327876395,0.7776904310111145,0.942158314948875,0.7002197802197804,0.7011904761904764,0.4612772894178508
5,5,LGBM,0.7382747103338175,0.7957097517663507,0.853144793198884,0.7892987012987016,0.5524392860920949,0.42636853405792957,0.6112662695935114,0.7335592301436706,0.8558521906938299,0.6219780219780222,0.7011904761904764,0.36335199257717765
6,6,LGBM,0.7324238228859574,0.7913987229379984,0.8503736229900395,0.8003116883116881,0.552619447017144,0.4095302739809544,0.622268839174957,0.741501761995121,0.8607346848152847,0.6312087912087914,0.7011904761904764,0.3260178642210292
7,7,LGBM,0.7323943614275801,0.7898477349151775,0.8481913610808514,0.7852467532467535,0.5637254321373296,0.42989704059624145,0.6250072628810337,0.7463540254811605,0.8677007880812873,0.6145054945054947,0.7011904761904764,0.33685799462764243
8,8,LGBM,0.7299305257655209,0.7885272225790609,0.847123919392601,0.8003116883116881,0.5427374541345062,0.4001773663953822,0.5924770270018758,0.7169693683925187,0.8414617097831614,0.6153846153846156,0.7011904761904764,0.3269500029250876
9,9,LGBM,0.7305247757296973,0.7893622246571205,0.8481996735845434,0.7871168831168834,0.5800908634936424,0.4396312368432943,0.6053147524275422,0.7288425047438332,0.8523702570601243,0.665934065934066,0.7011904761904764,0.3665969356071675
