,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7574108546591094,0.8142295247137239,0.8710481947683382,0.8188051948051951,0.5933076460867038,0.4911208014492542,0.6475621809646687,0.7643263757115751,0.8817681399044565,0.6417582417582419,0.43300985510483275,0.3431842682884498
1,1,LGBM,0.7565526895308029,0.8102503828756635,0.8643775169165562,0.7865974025974027,0.5676594250010929,0.45837661769488114,0.6298982899709343,0.7486310653293577,0.8673638406877812,0.6430769230769232,0.6735119047619065,0.36876758324816133
2,2,LGBM,0.8022136238450464,0.853932301253609,0.9056509786621715,0.8312727272727276,0.6545783326195138,0.545737129890212,0.6312132832898075,0.7513689346706427,0.8715245860514779,0.6373626373626375,0.49433214148192983,0.37616231476005035
3,3,LGBM,0.8043247958612595,0.8529418871571829,0.9015589784531063,0.8156883116883119,0.6529287484741392,0.5602032451802818,0.6358222000410114,0.7571970723773384,0.8817155549619702,0.6180219780219782,0.36463907020298003,0.31836208658562504
4,4,LGBM,0.7725220058059857,0.8263535166132573,0.8801850274205276,0.7966753246753249,0.6094975293940517,0.47442255739322536,0.604720279082442,0.7307400379506643,0.8567597968188866,0.6641758241758243,0.6735119047619065,0.4211737335021143
5,5,LGBM,0.7213416523302132,0.7810414701463859,0.8407412879625588,0.7729870129870132,0.534112728986267,0.4341576672635435,0.6413167165252887,0.7579831932773111,0.8746496700293336,0.6654945054945056,0.507873754152824,0.379678467992824
6,6,LGBM,0.7364917071291872,0.7969345484672744,0.8573773898053616,0.7965714285714288,0.5801653715117414,0.44756718042876836,0.6172579856423948,0.738465708864191,0.8596734320859872,0.6615384615384616,0.5172765691510532,0.41023921968782073
7,7,LGBM,0.7494649496543586,0.803964617425918,0.8584642851974772,0.7823376623376626,0.582357941776185,0.45207808396479254,0.6730226317925732,0.7856329628625647,0.898243293932556,0.6272527472527475,0.4608695652173914,0.33668343748652396
8,8,LGBM,0.7793007484327176,0.83007116254323,0.8808415766537422,0.7892987012987016,0.635723830655011,0.5179901203157151,0.6479040218617528,0.7672268907563028,0.8865497596508527,0.6479120879120881,0.5251013263577595,0.3266293693733878
9,9,LGBM,0.7588742071233836,0.8133694789738167,0.8678647508242497,0.7971948051948055,0.5768337900463227,0.457082281335919,0.6939527432935755,0.806993765248035,0.9200347872024944,0.6549450549450552,0.4331463273568539,0.4081441102462116
