,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7628379925172819,0.8160874658336587,0.8693369391500354,0.7272727272727273,0.6153846153846154,0.4375233589027422,0.5328952457599991,0.666034155597723,0.799173065435447,0.6307692307692307,0.6000000000000001,0.2583442120835885
1,1,LGBM,0.7321130775775034,0.7880193626462284,0.8439256477149534,0.7163636363636363,0.606060606060606,0.43886922814984136,0.5242611571639747,0.6603415559772295,0.7964219547904844,0.6461538461538462,0.6229508196721313,0.28992447831532236
2,2,LGBM,0.7390473701494422,0.7978118783745383,0.8565763865996343,0.7272727272727273,0.576271186440678,0.414373144102687,0.556252172717045,0.691650853889943,0.827049535062841,0.6615384615384615,0.56,0.33444831376397804
3,3,LGBM,0.7029638200940229,0.761228005414052,0.8194921907340811,0.6690909090909091,0.5472636815920398,0.3027106124859965,0.4181561185435695,0.562618595825427,0.7070810731072844,0.5076923076923077,0.5789473684210527,0.03593573104529901
4,4,LGBM,0.7637804742447271,0.816780185758514,0.8697798972723009,0.7381818181818182,0.6571428571428571,0.479843455724952,0.528207991019954,0.6622390891840607,0.7962701873481675,0.6153846153846154,0.5098039215686274,0.23101541386263652
5,5,LGBM,0.6994666787805515,0.7657657657657657,0.83206485275098,0.72,0.5882352941176471,0.40985361483312444,0.6131708647986815,0.7390891840607211,0.8650075033227607,0.6923076923076923,0.6428571428571428,0.38474837140384716
6,6,LGBM,0.7356086831392395,0.794899119067917,0.8541895549965944,0.7018181818181818,0.5591397849462365,0.38864445518209384,0.6887275195495003,0.8007590132827326,0.9127905070159649,0.7538461538461538,0.7241379310344828,0.507738314172715
7,7,LGBM,0.7604634845302554,0.8159573083430952,0.8714511321559351,0.7454545454545455,0.5977011494252873,0.41921044298467736,0.4441255738726605,0.5863377609108159,0.7285499479489713,0.5538461538461539,0.4912280701754386,0.10059909096557136
8,8,LGBM,0.7230004209884836,0.7779315115876861,0.8328626021868887,0.7054545454545454,0.5970149253731343,0.36543019317640507,0.5136892673508341,0.6499051233396583,0.7861209793284826,0.6153846153846154,0.5454545454545454,0.2268266742857601
9,9,LGBM,0.7143741096736221,0.7744287797763734,0.8344834498791246,0.6909090909090909,0.5853658536585366,0.3557035302494568,0.4467762339167518,0.5891840607210627,0.7315918875253735,0.5384615384615384,0.4230769230769231,0.06485204612810846
