,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.763401796565798,0.8024050453514744,0.8414082941371507,0.7552062868369355,0.8381871445803898,0.46578182216757125,0.597517063895421,0.7217674166440772,0.8488987267933589,0.7239560439560442,0.7104858795272033,0.44688824735337257
1,1,LGBM,0.776348875947283,0.8137706232233277,0.8511923704993722,0.7466180185237161,0.7988065256441004,0.461378462580415,0.6599932562098232,0.7738411493629712,0.8876890425161194,0.713846153846154,0.7247402920642358,0.4317069269783707
2,2,LGBM,0.7894601412965585,0.826628071231735,0.8637960011669115,0.7781083356721866,0.8269712494138651,0.5250146657377124,0.6471493870733249,0.763702900515045,0.8802564139567651,0.733626373626374,0.7167847699629829,0.4658048214338511
3,3,LGBM,0.7487080664017521,0.7881200614319588,0.8275320564621654,0.7467864159416224,0.8235540069686413,0.45472889608072187,0.6468297490224844,0.7641095147736517,0.8813892805248191,0.7257142857142859,0.7373902082993467,0.45049326551151697
4,4,LGBM,0.7725292739234355,0.8108944148263361,0.8492595557292368,0.7594723547572273,0.8973852813852816,0.48210496833039607,0.6683423997962388,0.7792897804283005,0.8906213936698129,0.7261538461538464,0.7565476190476192,0.45069182165955807
5,5,LGBM,0.7554283776576234,0.7954859284283593,0.8355434791990954,0.7552062868369355,0.818604651162791,0.4777070650971026,0.6801503392535548,0.7909189482244513,0.9022417236243998,0.7358241758241761,0.7066581708508561,0.47108121878888193
6,6,LGBM,0.7561104965663729,0.7979443012208414,0.8397781058753104,0.7569463934886334,0.8159533467192743,0.46815875530465023,0.7077515646674613,0.8116969368392521,0.9156423090110432,0.7419780219780222,0.7045408461455889,0.503413851623253
7,7,LGBM,0.7612344844763668,0.8008393871382548,0.8404442898001427,0.7575077182149876,0.8154685081158634,0.4660536706309065,0.62120119360823,0.7419625914882084,0.862723989368187,0.6927472527472529,0.6737667542733091,0.3837504265365088
8,8,LGBM,0.7427650051882118,0.7833060357901126,0.8238470663920133,0.7458321639068204,0.8056438574404678,0.4475118265282362,0.6876704115859985,0.7991867714827869,0.9107031313795753,0.7639560439560442,0.7398921829652478,0.5298483784869495
9,9,LGBM,0.7768224632118267,0.8144217066105314,0.8520209500092359,0.7644962110580972,0.8180555751394513,0.49306841128593476,0.6315327225983303,0.7507725670913529,0.871463973708527,0.7059340659340662,0.6956977600664804,0.4117082857372526
