,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7389613924442809,0.7800925925925927,0.8212237927409044,0.6797642436149313,0.7084078711985689,0.389005097855296,0.5475200318878475,0.6793168880455408,0.8111137442032341,0.5846153846153846,0.47058823529411764,0.16427762763565265
1,1,LGBM,0.7243488484801718,0.766375334601864,0.8084018207235563,0.6895874263261297,0.7188612099644128,0.3870961374641997,0.5507801739182712,0.681214421252372,0.8116486685864728,0.6,0.4583333333333333,0.2027180707648119
2,2,LGBM,0.7287609943589255,0.769703355487113,0.8106457166153005,0.6856581532416502,0.7173144876325087,0.3791630844192627,0.5910126842550297,0.7163187855787475,0.8416248869024653,0.6,0.4347826086956521,0.20807542543317484
3,3,LGBM,0.6962293100245754,0.7400045470785022,0.7837797841324289,0.6640471512770137,0.7046632124352332,0.32487093436497316,0.5373116797567776,0.6707779886148008,0.8042442974728239,0.5846153846153846,0.47058823529411764,0.16427762763565265
4,4,LGBM,0.7456032910095809,0.786580966747557,0.827558642485533,0.6777996070726916,0.7039711191335739,0.38341189611945536,0.6329586051316163,0.7533206831119544,0.8736827610922926,0.6461538461538462,0.5106382978723403,0.31242084541423226
5,5,LGBM,0.7207383575223617,0.763423144020159,0.8061079305179563,0.693516699410609,0.7263157894736841,0.3897120410847968,0.5508715224052962,0.6821631878557876,0.8134548533062789,0.6,0.5357142857142857,0.1948093019766315
6,6,LGBM,0.6965762144010441,0.7414557919145076,0.7863353694279711,0.6168958742632613,0.6368715083798882,0.3004904695267415,0.5152216375364418,0.6499051233396583,0.7845886091428749,0.6,0.4583333333333333,0.2027180707648119
7,7,LGBM,0.7383904458499201,0.7796857873584216,0.8209811288669232,0.6620825147347741,0.6838235294117647,0.3743989084806345,0.5747541722445448,0.7049335863377609,0.835113000430977,0.5538461538461539,0.3829787234042554,0.09790653254178405
8,8,LGBM,0.7233826917503775,0.7650661440470359,0.8067495963436943,0.6895874263261297,0.7275862068965518,0.37950481937634056,0.5777623039667252,0.7058823529411765,0.8340024019156278,0.5846153846153846,0.4905660377358491,0.1632381750155198
9,9,LGBM,0.734585669772382,0.7758688139792658,0.8171519581861495,0.7053045186640472,0.7422680412371134,0.40911430735258203,0.5732429273360025,0.7011385199240986,0.8290341125121947,0.6615384615384615,0.6071428571428571,0.32143534826144193
