,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6656806415293239,0.7142164521688709,0.7627522628084178,0.7474038731406121,0.5099394762979681,0.24226602280280898,0.6844676476309576,0.7971537001897535,0.9118102909429611,0.7345054945054947,0.7572676211710418,0.4944774635383846
1,1,LGBM,0.6768198012771107,0.7250358391185994,0.773251876960088,0.7474038731406121,0.5073781688467072,0.24851163483331082,0.6759244726882514,0.7917592843589052,0.9075940960295588,0.6931868131868134,0.7358707958707958,0.4349745315498297
2,2,LGBM,0.6571112396668157,0.7057347958915217,0.7552544131976349,0.7474038731406121,0.5023256195858327,0.23080178471322227,0.6395277720401983,0.7611005692599623,0.8826733664797262,0.717802197802198,0.7322142401058425,0.4368303146693432
3,3,LGBM,0.6745057810533585,0.722242267072575,0.7699787530917914,0.7474038731406121,0.5063158969562138,0.24532160287545857,0.6761504495333492,0.7882624017348878,0.9028859833100957,0.7015384615384617,0.7414605657311382,0.44788964716159185
4,4,LGBM,0.6866285705870364,0.7339137391341701,0.7811989076813037,0.7474038731406121,0.5093075389584075,0.2456137825216409,0.6530463831899803,0.7726213065871512,0.8921962299843221,0.6918681318681321,0.7334460653106673,0.4290370406120328
5,5,LGBM,0.6819451330184508,0.7288887457113865,0.7758323584043223,0.7474038731406121,0.5087972732908247,0.24356838707396575,0.6161761687735705,0.7395771211710493,0.8633475139605249,0.688791208791209,0.7398095575310767,0.44382468141443904
6,6,LGBM,0.6731813961205548,0.7216130019490039,0.770044607777453,0.7474038731406121,0.5061550866230451,0.2449191691832043,0.7480458686579763,0.8452426131743023,0.9424393576906284,0.8070329670329672,0.8139582156973464,0.6255685729296967
7,7,LGBM,0.6673237483486854,0.7159646494746283,0.7646055506005712,0.7474038731406121,0.5069877190627834,0.24719496419671613,0.6518682095276604,0.7702629438872325,0.8902566393223365,0.706813186813187,0.7373030978664783,0.44483232959483643
8,8,LGBM,0.6626848476227682,0.7110298578784316,0.7593748681340952,0.7474038731406121,0.49997652610287674,0.22725109124951376,0.6613838969030008,0.7785578747628086,0.8957318526226163,0.7534065934065938,0.765801552288664,0.5204081899386765
9,9,LGBM,0.6789824233911628,0.7261596035414957,0.7733367836918288,0.7474038731406121,0.5026137069286235,0.2336767702274372,0.7144806180257859,0.8217945242613176,0.9291084304968494,0.7481318681318685,0.7804415880618415,0.5454455911894689
