,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7629714359650871,0.802354912933557,0.841738389902027,0.7708111142295822,0.8397934595524958,0.4974292402104342,0.5712742238908726,0.7028191921930064,0.8343641604951402,0.6843956043956045,0.7011904761904764,0.36655006363862785
1,1,LGBM,0.7609124978749923,0.8006060089575701,0.840299520040148,0.7538591074936853,0.8397934595524958,0.46224952023641386,0.6148852723782283,0.7383030631607485,0.8617208539432686,0.7076923076923078,0.7011904761904764,0.41451780390056003
2,2,LGBM,0.7578434970137737,0.7973277854831256,0.8368120739524774,0.7474038731406117,0.8202584701362211,0.46152378698071483,0.7406347027450255,0.8387096774193552,0.9367846520936848,0.7490109890109893,0.7564210293875089,0.5067238400873934
3,3,LGBM,0.772118396619762,0.8093050393693483,0.8464916821189347,0.7456076340162786,0.8235540069686413,0.45109117884645167,0.6477893474057336,0.7654648956356739,0.884359677793477,0.7371428571428574,0.7327928222571083,0.47563347515727605
4,4,LGBM,0.7635142658554475,0.8022917015302804,0.8410691372051133,0.7525119281504353,0.8033916200395894,0.4721835944526513,0.5963214071010122,0.7229872594198973,0.8496531117387823,0.7054945054945057,0.6657283603096413,0.41020817453843117
5,5,LGBM,0.7489763443183879,0.7888431848408817,0.8287100253633755,0.7374684254841428,0.8085960894838826,0.44679650338485943,0.6622523078803739,0.7791000271076175,0.8959477463348611,0.7520879120879125,0.7320161457000236,0.5030491418153559
6,6,LGBM,0.7639114328514642,0.8027519012290588,0.8416247754376126,0.7585742351950606,0.8054896294851231,0.4885624869211348,0.6640706335994495,0.7812686364868531,0.8984666393742567,0.7213186813186816,0.7139142232575415,0.4413830875305341
7,7,LGBM,0.7527448625723085,0.7927177599868174,0.832690657401326,0.7465057535784453,0.8016606911807374,0.46414514021399833,0.6309514395682234,0.7543507725670916,0.8777501055659598,0.7424175824175827,0.7400514259892971,0.488225558500229
8,8,LGBM,0.7613924830074639,0.8010104288677836,0.8406283747281031,0.760370474319394,0.8171296649210571,0.4762305875001419,0.74003404794864,0.8417863919761455,0.9435387360036509,0.813626373626374,0.8084518886131791,0.6275607804273711
9,9,LGBM,0.7372595756812936,0.778621955288622,0.8199843348959505,0.7376929553746845,0.797046080525438,0.42692664630409816,0.652251454972196,0.7687449173217676,0.8852383796713392,0.7164835164835167,0.7167866534243829,0.4310920200614193
