,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7375090153093289,0.7792014400261822,0.8208938647430355,0.7092337917485265,0.7421602787456445,0.4265569447021754,0.535693387518598,0.6688804554079696,0.8020675232973412,0.5846153846153846,0.4905660377358491,0.1632381750155198
1,1,LGBM,0.7470227691982916,0.7875072688505523,0.8279917685028131,0.6856581532416502,0.7111913357400722,0.3872004845237876,0.586436888919933,0.7153700189753319,0.8443031490307309,0.5538461538461539,0.45283018867924524,0.09814319724859472
2,2,LGBM,0.7216732536696635,0.7636977450410286,0.8057222364123937,0.6620825147347741,0.6802973977695166,0.3539172743792814,0.5367806350022329,0.6717267552182163,0.8066728754341997,0.5538461538461539,0.40816326530612246,0.09742767537133164
3,3,LGBM,0.7124536432507862,0.7570398518951573,0.8016260605395285,0.6817288801571709,0.7147887323943661,0.37054097139628595,0.5588019322986534,0.689753320683112,0.8207047090675706,0.5846153846153846,0.47058823529411764,0.16427762763565265
4,4,LGBM,0.7522560678883382,0.7925200065327453,0.8327839451771525,0.7111984282907662,0.7434554973821991,0.4302521212503835,0.5577837212149166,0.691650853889943,0.8255179865649693,0.6,0.5185185185185185,0.19523485647859573
5,5,LGBM,0.7154032102954515,0.7578355906330183,0.8002679709705851,0.6679764243614931,0.6817325800376647,0.3789135929635656,0.5580258909203721,0.689753320683112,0.8214807504458519,0.6153846153846154,0.5098039215686274,0.23101541386263652
6,6,LGBM,0.7734852794976131,0.8110209601081811,0.8485566407187491,0.7190569744597249,0.7423423423423423,0.45194033826315166,0.5191956486445171,0.6546489563567363,0.7901022640689555,0.5846153846153846,0.4905660377358491,0.1632381750155198
7,7,LGBM,0.7325810946948752,0.7737537420278537,0.8149263893608323,0.6777996070726916,0.7018181818181818,0.3808761293938636,0.6020632482490577,0.7267552182163187,0.8514471881835798,0.5846153846153846,0.4,0.17406342948840103
8,8,LGBM,0.7336666977480087,0.7747440829366892,0.8158214681253696,0.7013752455795678,0.7414965986394558,0.39609382117362263,0.5250960377207843,0.6650853889943072,0.8050747402678302,0.5384615384615384,0.4230769230769231,0.06485204612810846
9,9,LGBM,0.7382072958955468,0.7781963360056666,0.8181853761157865,0.6954813359528488,0.7246891651865008,0.3972112687329669,0.5309765762280618,0.666034155597723,0.8010917349673843,0.5384615384615384,0.4230769230769231,0.06485204612810846
