,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.809823738328387,0.8569555810105641,0.9047085157945365,0.8206753246753249,0.6310402872853779,0.5405633702960114,0.637332708878451,0.7609108159392792,0.8844889230001074,0.6452747252747254,0.4450755099092939,0.3905603466996044
1,1,LGBM,0.797580849926688,0.8485999530609668,0.8998792618841236,0.8125194805194804,0.6655775775180246,0.5382053684969074,0.6237918084016536,0.7464895635673627,0.8691873187330719,0.6259340659340662,0.3680580762250455,0.35548537963435095
2,2,LGBM,0.7746873373865961,0.8296269232330616,0.8858645165003008,0.8272207792207794,0.5893878443239058,0.4926664602913202,0.6821369640927917,0.7933857413933317,0.904634518693872,0.6329670329670332,0.4119770536934548,0.33530918119567943
3,3,LGBM,0.7544715607135835,0.8125447619047622,0.870617963095941,0.8001038961038963,0.5934971734035578,0.4607071847726773,0.6488435778360896,0.7659528327460019,0.8838180810426761,0.6246153846153848,0.3709500362131942,0.3525493347491899
4,4,LGBM,0.7557370483249664,0.8127912087912089,0.8699366221382995,0.7947012987012991,0.577373636021573,0.464286051976485,0.6176689556386104,0.7403632420710222,0.863057528503434,0.6294505494505497,0.7011904761904764,0.3240235082671729
5,5,LGBM,0.7978134634524017,0.8442948717948721,0.8913008715506464,0.7874285714285716,0.5885487367334157,0.4514268373979035,0.6497443500238076,0.7710761724044458,0.8924079947850841,0.6545054945054947,0.49821428571428683,0.4072402276368084
6,6,LGBM,0.7885897391753834,0.8414415131906424,0.8942932872059015,0.826805194805195,0.5804872382210833,0.49970917643224855,0.6016516722205649,0.7269449715370022,0.8522382708534395,0.6232967032967035,0.3826870941229584,0.32101076683443486
7,7,LGBM,0.7780862771208734,0.8306652067846101,0.8832441364483464,0.8086233766233768,0.5977681399513841,0.4792032221941311,0.6165748440717624,0.7393331526158853,0.864766571108258,0.6435164835164837,0.41443609022556405,0.3784516837722722
8,8,LGBM,0.7691931367282396,0.8239712786523062,0.8787494205763731,0.8065454545454548,0.5776932408625481,0.45630790885848754,0.6799849887074303,0.7934670642450532,0.9069491397826762,0.6514285714285715,0.4521101198453116,0.3715094772033268
9,9,LGBM,0.7551069969324142,0.8101983672430411,0.8652897375536678,0.7788051948051951,0.5878551599899586,0.442593047649645,0.6917889616675577,0.8021957169964764,0.9126024723253952,0.6435164835164837,0.4010217852323117,0.3914659934280772
