,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.8026208351463674,0.851279114165712,0.8999373931850566,0.7163636363636363,0.6320754716981132,0.45385083479796046,0.6139764023521435,0.7390891840607211,0.8642019657692988,0.676923076923077,0.5882352941176471,0.3644909863166043
1,1,LGBM,0.7901959645154758,0.8417161632756224,0.893236362035769,0.730909090909091,0.6509433962264151,0.4814165271007467,0.5876653692066046,0.7163187855787475,0.8449722019508904,0.6153846153846154,0.5283018867924528,0.22833315278244487
2,2,LGBM,0.7490051367515465,0.8074737141233306,0.8659422914951147,0.68,0.5555555555555556,0.38584242253759465,0.5838316444436862,0.7106261859582544,0.8374207274728227,0.6307692307692307,0.5555555555555556,0.2596524487177263
3,3,LGBM,0.7400038741227708,0.7991333333333333,0.8582627925438957,0.6436363636363637,0.5462962962962963,0.33561461345730853,0.5775863060381864,0.7077798861480075,0.8379734662578285,0.676923076923077,0.5882352941176471,0.3644909863166043
4,4,LGBM,0.743721489881336,0.8013461538461538,0.8589708178109716,0.6836363636363636,0.5915492957746479,0.3894656139951427,0.5880493989116202,0.7163187855787475,0.8445881722458748,0.6923076923076923,0.6153846153846153,0.39417884287240923
5,5,LGBM,0.7318952823705739,0.7899358974358973,0.8479765125012207,0.6509090909090909,0.5636363636363636,0.3406925719346235,0.6305597736414291,0.75426944971537,0.8779791257893109,0.6923076923076923,0.6296296296296297,0.38848763319598745
6,6,LGBM,0.7363909745307734,0.7977700348432055,0.8591490951556376,0.6545454545454545,0.5410628019323671,0.35273646242331563,0.5550466617223115,0.6878557874762808,0.8206649132302501,0.6153846153846154,0.5098039215686274,0.23101541386263652
7,7,LGBM,0.7513718019502528,0.8085249428533011,0.8656780837563495,0.6909090909090909,0.5933014354066987,0.4210754392780848,0.6260889833420127,0.7476280834914611,0.8691671836409096,0.6615384615384615,0.5416666666666666,0.34289546012345845
8,8,LGBM,0.7263631793382854,0.7899751449875725,0.8535871106368595,0.68,0.5643564356435644,0.3856123256664244,0.5792258206316138,0.7096774193548389,0.840129018078064,0.676923076923077,0.6181818181818182,0.35447804942493244
9,9,LGBM,0.7284270252575357,0.7849688176148657,0.8415106099721957,0.68,0.5925925925925926,0.38674604153732833,0.6391237456570189,0.7599620493358633,0.8808003530147077,0.7230769230769231,0.6399999999999999,0.46989467136309687
