,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7352322348533598,0.7937015906600675,0.8521709464667753,0.7808831168831171,0.5670461983574568,0.4099406016454451,0.6019929842957576,0.731146652209271,0.8604212797201086,0.6114285714285717,0.7011904761904764,0.32941446064062513
1,1,LGBM,0.7326990017890089,0.7905467185551822,0.8483944353213554,0.7931428571428575,0.5740272167147233,0.4484552674533171,0.5856925276732576,0.7110328002168611,0.836965742282322,0.6140659340659342,0.7011904761904764,0.33495311525994226
2,2,LGBM,0.7399403099563016,0.797733026032418,0.8555257421085343,0.8003116883116881,0.5618423689763806,0.434347313925074,0.6241592896198312,0.7434806180536733,0.8775033938448973,0.618901098901099,0.7011904761904764,0.341288519374352
3,3,LGBM,0.7328148579449068,0.7912173650205918,0.8496198720962772,0.797818181818182,0.555125792082314,0.4474004005295585,0.5904169781873864,0.7151531580374089,0.8398893378874313,0.6259340659340662,0.7011904761904764,0.343867219441291
4,4,LGBM,0.7299332156867027,0.788534779158953,0.8473921916937748,0.8003116883116881,0.5563165962902576,0.4253220321851694,0.6072184646539731,0.7222011385199243,0.8696858454571688,0.6408791208791211,0.7011904761904764,0.33712785347995045
5,5,LGBM,0.7376260870338378,0.7953715948161865,0.8531171025985351,0.7779740259740262,0.5544646705103904,0.40735489756035553,0.65865880623325,0.7735429655733265,0.8884271249134028,0.6465934065934068,0.7011904761904764,0.3596566847281185
6,6,LGBM,0.7323810267439361,0.7909906676238337,0.8496003085037315,0.7789090909090911,0.5506994332963215,0.41080936465454904,0.5850548891618097,0.7124695039306048,0.8414089649320018,0.618901098901099,0.7011904761904764,0.34462022727469466
7,7,LGBM,0.7342422229953754,0.7931650734877397,0.852087923980104,0.7904415584415587,0.5510441040323544,0.42486513538998516,0.5939458813398149,0.7187042558959069,0.8434626304519992,0.6272527472527475,0.7011904761904764,0.36594858572122047
8,8,LGBM,0.7413896800369938,0.7986568179242077,0.8559239558114218,0.785766233766234,0.5710946640733824,0.4302987119614585,0.6305194589366464,0.7509352127947957,0.8713509666529448,0.6250549450549452,0.7011904761904764,0.3465914291890788
9,9,LGBM,0.7369535192832345,0.7951222276797524,0.8532909360762702,0.7875324675324678,0.5653130863252296,0.42640560987032,0.6371002582206675,0.7556790458118734,0.8742578334030794,0.6149450549450551,0.7011904761904764,0.32550678838955505
