,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7626853858646979,0.8163403697826336,0.8699953537005682,0.807688311688312,0.5790654247039759,0.49210535273147404,0.6473282450195266,0.7635131471943619,0.8800130908543352,0.6153846153846156,0.32502838973427217,0.3347122355721398
1,1,LGBM,0.7971223631911002,0.8457669965576595,0.8951464550910877,0.8005194805194806,0.5942893945899529,0.49307363327960946,0.6047154802238568,0.7289238275955547,0.8531321749672528,0.6074725274725277,0.3506915848379264,0.3112034164884256
2,2,LGBM,0.7795858986792626,0.8325729244577416,0.8858907214070939,0.8036363636363638,0.6374722028230556,0.5130877287090907,0.7068362895407376,0.8153158037408514,0.9237953179409653,0.640879120879121,0.3963005226163122,0.3827952458923909
3,3,LGBM,0.7999049793555286,0.852072392035365,0.9045388226990824,0.8189090909090914,0.6791405241438554,0.5533691497171755,0.6616951288848381,0.7767687720249392,0.8918424151650405,0.6180219780219782,0.4162247168599978,0.3393962794620992
4,4,LGBM,0.7944578549114238,0.8442528432561659,0.894047831600908,0.8151688311688314,0.6415219577613458,0.5467707977750424,0.6600402214628168,0.7760097587422068,0.8919792960215966,0.6004395604395607,0.34298782298782304,0.29461521303754334
5,5,LGBM,0.7958344203190143,0.8479684563368277,0.9001024923546411,0.8164155844155847,0.6240884289258424,0.5064674107536922,0.7391937861146229,0.8375711574952563,0.9359485288758898,0.662857142857143,0.4586814597469284,0.41807734565491456
6,6,LGBM,0.7881961794076512,0.8395251110987154,0.8908540427897798,0.8140259740259742,0.6324799024713084,0.5164120458772289,0.6738472158147911,0.7849281648143133,0.8960091138138352,0.6540659340659342,0.4566027754332558,0.3822402381629886
7,7,LGBM,0.7957472864481668,0.8453383557279663,0.894929425007766,0.8126753246753249,0.5959340998949955,0.4966426922118947,0.6801613678810019,0.7910002710761725,0.9018391742713433,0.6180219780219782,0.3325317153888583,0.33960993214443863
8,8,LGBM,0.7391659911433329,0.7993646884040976,0.8595633856648622,0.7843116883116886,0.5750272656177914,0.43084461576933253,0.7332959272877551,0.8334507996747089,0.9336056720616627,0.6294505494505497,0.385857500895095,0.34930427116465407
9,9,LGBM,0.7501531791263217,0.8067237431557992,0.8632943071852767,0.8062337662337666,0.587126536696813,0.4573717484585392,0.6646589852799358,0.7825426944971539,0.9004264037143719,0.6523076923076925,0.42616838353680475,0.4033701118074944
