,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7490545322455567,0.788626023657871,0.8281975150701852,0.7282065674992986,0.7895058709550032,0.4113954376311002,0.6083646596396747,0.7335998915695312,0.8588351234993877,0.6953846153846156,0.6803862461093549,0.39489868795860134
1,1,LGBM,0.745724897840798,0.7855364728129722,0.8253480477851463,0.7380858826831325,0.8032591246453582,0.4235460169140346,0.6797826677450487,0.7892924911900248,0.8988023146350007,0.7657142857142859,0.7757904698371028,0.5451196142820076
2,2,LGBM,0.7256454436271885,0.7680730448207655,0.8105006460143422,0.7447656469267474,0.8525059665871125,0.42959232516389073,0.5963461397034362,0.723095689888859,0.8525225007089879,0.7015384615384618,0.7011904761904764,0.4029561044132831
3,3,LGBM,0.7410394485357034,0.7810333761232351,0.8210273037107669,0.7269155206286838,0.7811414575549019,0.42255009409085453,0.6225466766930126,0.7461100569259964,0.8696734371589803,0.7151648351648354,0.6972295369760809,0.4291202918536864
4,4,LGBM,0.7545871236313638,0.7930204976727536,0.8314538717141434,0.7144541117036208,0.7794170564951424,0.41623116799995474,0.6165145621300521,0.7418812686364871,0.8672479751429222,0.7094505494505496,0.7011904761904764,0.4178141294940768
5,5,LGBM,0.7921962652136296,0.8288602175256107,0.8655241698375917,0.775750771821499,0.8265521714049646,0.5130547246639816,0.5957914903469359,0.7203036053130932,0.8455063033815999,0.703736263736264,0.6781599157948912,0.4055774221083877
6,6,LGBM,0.8006398465843372,0.8370128373388279,0.8733858280933187,0.7822621386472076,0.8349628605976855,0.5258132980739165,0.5568962263668162,0.689075630252101,0.8212550341373855,0.6562637362637365,0.7011904761904764,0.31531670216193985
7,7,LGBM,0.7908874257735299,0.8270226667742198,0.86315790777491,0.7644681448217796,0.8176471227888545,0.48635215968284,0.637414605615447,0.7562889671997834,0.875316673056693,0.7274725274725278,0.7566769192328433,0.48779099171205564
8,8,LGBM,0.7506632077441039,0.7906711473378142,0.8306790869315244,0.7474600056132474,0.8445892642771398,0.44210148088910584,0.6479255536251589,0.7661154784494445,0.8843054032737302,0.7512087912087915,0.7230577654790731,0.5020054132716208
9,9,LGBM,0.7829014917446805,0.8194310962040832,0.8559607006634858,0.7539713724389562,0.8014144899323805,0.4800678384093145,0.666229182379154,0.7815126050420169,0.8967960277048801,0.7323076923076925,0.7062018869499876,0.4632255713922878
