,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7116941148837128,0.754744406336763,0.7977946977898132,0.6738703339882122,0.6959706959706959,0.3804002859025938,0.5498488291741013,0.6831119544592031,0.816375079744305,0.5692307692307692,0.41666666666666663,0.13262937608548864
1,1,LGBM,0.7252909137350373,0.7671968125391023,0.8091027113431674,0.693516699410609,0.7301038062283737,0.3941979000189944,0.5478991815060934,0.6802656546489564,0.8126321277918194,0.6153846153846154,0.4680851063829787,0.24091607445674953
2,2,LGBM,0.7140559498875393,0.7580040526849038,0.8019521554822683,0.6699410609037328,0.710344827586207,0.3596969849227348,0.5561457001409442,0.6878557874762808,0.8195658748116175,0.5846153846153846,0.4,0.17406342948840103
3,3,LGBM,0.7173310503803741,0.7587451861360719,0.8001593218917696,0.6758349705304518,0.6833013435700576,0.3920125059859212,0.5119277402916218,0.6489563567362427,0.7859849731808637,0.5230769230769231,0.3111111111111111,0.024207496816267694
4,4,LGBM,0.7345963063503029,0.7745614035087719,0.8145265006672409,0.6974459724950884,0.6980392156862746,0.4145452156051963,0.5509067557212344,0.6831119544592031,0.8153171531971719,0.5846153846153846,0.37209302325581395,0.18076437841857593
5,5,LGBM,0.7732447082364156,0.811207214455731,0.8491697206750464,0.6856581532416502,0.706959706959707,0.4305561350507882,0.5276900630153558,0.6612903225806451,0.7948905821459344,0.5538461538461539,0.3829787234042554,0.09790653254178405
6,6,LGBM,0.7570147774762319,0.7965194770983569,0.8360241767204819,0.7053045186640472,0.7340425531914894,0.4328666773173072,0.6005158427066,0.723908918406072,0.847301994105544,0.6615384615384615,0.56,0.33444831376397804
7,7,LGBM,0.7541275397327315,0.7942505065267215,0.8343734733207114,0.6836935166994106,0.7045871559633028,0.41829658508712214,0.5331938531779409,0.6669829222011386,0.8007719912243364,0.5692307692307692,0.36363636363636365,0.13860924831758192
8,8,LGBM,0.717307818342327,0.7600934267600933,0.8028790351778595,0.6679764243614931,0.6976744186046512,0.37207142357565837,0.552487530142301,0.6831119544592031,0.8137363787761053,0.5846153846153846,0.4,0.17406342948840103
9,9,LGBM,0.7700232367540486,0.807285451672203,0.8445476665903574,0.6699410609037328,0.6692913385826771,0.400623119076838,0.5632749515632287,0.6925996204933585,0.8219242894234884,0.6153846153846154,0.4680851063829787,0.24091607445674953
