,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6654591156739827,0.7141079952107128,0.7627568747474427,0.7474038731406121,0.5039545362388719,0.23640367501171675,0.6825904126852493,0.7950121984277585,0.9074339841702675,0.7270329670329673,0.7577301695797938,0.4885470202921588
1,1,LGBM,0.6947689708331517,0.7424619729501905,0.7901549750672295,0.7474038731406121,0.5026635248775644,0.23571095082869475,0.6882881950842132,0.7993494171862296,0.914960767694195,0.7520879120879124,0.780810468713228,0.5454241017381098
2,2,LGBM,0.6810334755531982,0.729659219646817,0.7782849637404361,0.7474038731406121,0.5078593032442328,0.24748637471026777,0.6784570933434018,0.7915966386554625,0.9079788290470928,0.6958241758241761,0.7467042902847607,0.46141807208721036
3,3,LGBM,0.6582916932140257,0.7070937293623055,0.7561066790210924,0.7474038731406121,0.503847952839312,0.23678252929411042,0.6916893180698407,0.802846299810247,0.9142096963794251,0.7793406593406595,0.7862622890717712,0.5686393969869299
4,4,LGBM,0.6587732269892852,0.7074953422568713,0.7562174575244576,0.7474038731406121,0.5022350272020872,0.23370666658386938,0.6120786146605898,0.7393331526158853,0.8665876905711807,0.7485714285714289,0.7542268101361798,0.4974340860650544
5,5,LGBM,0.676470861857223,0.7249118116070423,0.7740052961543553,0.7474038731406121,0.5021427401517472,0.23265110331246913,0.6983966861537775,0.8109243697478994,0.9234520533420214,0.7164835164835168,0.7435851967581293,0.4542337675653484
6,6,LGBM,0.6652386394161147,0.7134857099903895,0.7617327805646641,0.7474038731406121,0.5030459916920176,0.23521894805472227,0.6558329942857118,0.7737056112767691,0.8916257363179125,0.7419780219780222,0.7574874456824987,0.5008218667052944
7,7,LGBM,0.6757117756809593,0.7239083162862621,0.7721048568915648,0.7474038731406121,0.5049432229571378,0.24327221386895187,0.6855313787559066,0.7985632962862567,0.9115952138166067,0.7090109890109892,0.7354458874458876,0.433100478272135
8,8,LGBM,0.6731649922693289,0.7209429312372149,0.7687208702051008,0.7474038731406121,0.5015359351725178,0.23266186517247528,0.6833413840582516,0.7964760097587424,0.9096106354592333,0.7208791208791211,0.7400200278556446,0.45101156042301194
9,9,LGBM,0.6587850321841466,0.7076977594510576,0.7566104867179686,0.7474038731406121,0.5058625188291297,0.24622340295390852,0.6342285841756652,0.7536730821360804,0.873192267730902,0.7191208791208794,0.7532016236627468,0.4783468555388613
