,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7481485533312087,0.7879036724754308,0.8277144499074689,0.7454953690710078,0.7900800445033076,0.46838062963129207,0.6457882783433677,0.7635131471943618,0.8812380160453559,0.7490109890109893,0.7543644415286209,0.5047537629206834
1,1,LGBM,0.7634653876660408,0.8036467906771565,0.8438281936882723,0.7598091495930397,0.8207464163524065,0.45801332655903315,0.6882465874105779,0.7970452697207918,0.9058439520310057,0.7727472527472529,0.766293339916612,0.5450123993246596
2,2,LGBM,0.7869214175473573,0.8239274402533835,0.8613315214328607,0.7792871175975303,0.8226479120350749,0.5361838660631816,0.7240221296371703,0.8287069666576309,0.9333918036780916,0.7881318681318683,0.800458069326935,0.5938158389610639
3,3,LGBM,0.7683089580601994,0.8071678224687936,0.8460266868773879,0.7576199831602585,0.8077529825174014,0.4835266394740936,0.6529645760779949,0.7706695581458392,0.8883745402136835,0.751648351648352,0.7345512658169604,0.5023588655337767
4,4,LGBM,0.7728446074582958,0.8112305842977352,0.8496165611371749,0.7666011787819255,0.8179248343478462,0.49512006823136795,0.6636507363811179,0.7782596909731637,0.8928686455652098,0.7371428571428574,0.7247454559665883,0.4727360962569876
5,5,LGBM,0.7727673152954863,0.8111047979209944,0.8494422805465026,0.7608756665731128,0.8142501901767959,0.4850201847929562,0.6748286098025575,0.7891027378693416,0.908045280297129,0.7534065934065937,0.734853155858991,0.5068551389840105
6,6,LGBM,0.7288260521215464,0.7696766954204366,0.8108283942358343,0.7276452427729444,0.7923780071342805,0.40707744624124476,0.6403914954901351,0.7648414204391437,0.8892913453881524,0.7393406593406596,0.7191084948147546,0.47748077228066965
7,7,LGBM,0.7537412359512279,0.7933029201306072,0.8328646043099867,0.7380297502104969,0.8867957439386013,0.43674859503970404,0.64050445878298,0.7608837083220388,0.8812629578610975,0.7213186813186816,0.7565476190476192,0.4417186289940292
8,8,LGBM,0.7192184009424503,0.7617873865265171,0.8043563721105838,0.7266909907381423,0.7886398433747998,0.4042765709143672,0.5908027511073732,0.694619137977772,0.8340278262848746,0.7292307692307693,0.7088963524174025,0.4571196186866545
9,9,LGBM,0.7752596842826913,0.8137537866240359,0.8522478889653804,0.7627280381700815,0.8183292972854586,0.4839627352440623,0.6289076303581317,0.7494442938465711,0.870156548514994,0.7081318681318682,0.6930297896640336,0.41739929453645674
