,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.731986130375115,0.7730678233438486,0.8141495163125823,0.68762278978389,0.7145421903052065,0.4021870346538045,0.5537270008248523,0.6850094876660341,0.8162919745072159,0.6307692307692307,0.5200000000000001,0.26672513496441863
1,1,LGBM,0.7415646566324344,0.7810336065053046,0.8205025563781748,0.6758349705304518,0.6808510638297872,0.38317561085753105,0.5084982281279835,0.6451612903225806,0.7818243525171777,0.5538461538461539,0.2926829268292683,0.1050723236793641
2,2,LGBM,0.7736235552106919,0.8109256149362837,0.8482276746618754,0.7131630648330058,0.7364620938628158,0.46019715067586275,0.562261329458119,0.6925996204933585,0.8229379115285981,0.6,0.4347826086956521,0.20807542543317484
3,3,LGBM,0.7157317983857426,0.758829365079365,0.8019269317729875,0.6954813359528488,0.7341337907375642,0.3959173642235478,0.5655265977943048,0.6954459203036053,0.8253652428129058,0.5692307692307692,0.3913043478260869,0.13496784352422153
4,4,LGBM,0.699267423733528,0.7447113780447113,0.7901553323558946,0.6856581532416502,0.7250859106529209,0.38211984148932415,0.5386665873894365,0.6707779886148008,0.802889389840165,0.5692307692307692,0.36363636363636365,0.13860924831758192
5,5,LGBM,0.7275395071914987,0.770267558528428,0.8129956098653572,0.6758349705304518,0.7079646017699115,0.3830404193642261,0.5623172963888052,0.6925996204933585,0.8228819445979119,0.5692307692307692,0.3913043478260869,0.13496784352422153
6,6,LGBM,0.7331477411705277,0.7740636858604191,0.8149796305503104,0.6699410609037328,0.6978417266187049,0.37024473235212363,0.5367451013324904,0.6698292220113852,0.8029133426902799,0.6,0.4347826086956521,0.20807542543317484
7,7,LGBM,0.7320495405767952,0.7724252491694353,0.8128009577620755,0.6954813359528488,0.7013487475915222,0.42874166295618404,0.5649670062714423,0.6944971537001897,0.8240273011289372,0.6307692307692307,0.5384615384615384,0.26244812417468893
8,8,LGBM,0.7414110940055767,0.7822358496753459,0.823060605345115,0.6836935166994106,0.708860759493671,0.39667048591936643,0.5529410017291522,0.6840607210626185,0.8151804403960848,0.5692307692307692,0.36363636363636365,0.13860924831758192
9,9,LGBM,0.754196670891986,0.7932161370295244,0.8322356031670628,0.7013752455795678,0.7142857142857143,0.4371479886796346,0.5665589490912879,0.6963946869070209,0.8262304247227539,0.5538461538461539,0.35555555555555557,0.09913546315233436
