,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7498271688580483,0.8071365384268205,0.8644459079955928,0.792831168831169,0.602478976412826,0.4735857447088883,0.6062854597967203,0.7301707779886151,0.8540560961805097,0.6720879120879123,0.4715331010452964,0.4442899018009139
1,1,LGBM,0.7902809453770823,0.8442364273533106,0.8981919093295392,0.8238961038961041,0.6425249932632475,0.5321783482006541,0.7206856076400091,0.8239089184060724,0.9271322291721356,0.6373626373626375,0.42900768404527817,0.36676519517116807
2,2,LGBM,0.7884441219145324,0.8370331551549457,0.8856221883953588,0.7833766233766236,0.5782602402663195,0.4652521503604315,0.6275266524518353,0.7495798319327733,0.8716330114137115,0.5986813186813189,0.28349276552726366,0.3034492801913819
3,3,LGBM,0.7666729913794404,0.8208192052081924,0.8753592907405325,0.8123636363636366,0.5947651806624292,0.4832544867083877,0.6744646207788485,0.7876660341555979,0.9008674475323473,0.652747252747253,0.42616838353680475,0.4083078878600297
4,4,LGBM,0.7867859247257855,0.8433996133664735,0.9000133020071617,0.8467532467532469,0.6498049588260201,0.5707777574829472,0.5923429054344458,0.7210897262130661,0.8498365469916864,0.6641758241758243,0.48571334585229514,0.39817594662827516
5,5,LGBM,0.7641569413784921,0.8218025430067317,0.8794481446349715,0.8003116883116885,0.5923045704008821,0.4972345241798294,0.641534268063827,0.7622119815668205,0.8828896950698141,0.6795604395604399,0.4942857142857144,0.4511371591887911
6,6,LGBM,0.7463201749403209,0.802450953653703,0.8585817323670852,0.8065454545454548,0.615257971184773,0.5047210602459564,0.6210898704069913,0.7463540254811605,0.8716181805553296,0.6413186813186815,0.4538538893818398,0.34919254987359677
7,7,LGBM,0.7728397680501857,0.8295969592656343,0.8873341307989672,0.8279480519480522,0.6588249440529078,0.5701492940935138,0.6762246490765513,0.7872323122797509,0.8982566641644784,0.6180219780219782,0.34418374418374426,0.3430916411866679
8,8,LGBM,0.7799799710071391,0.8362049417468139,0.8924299124864887,0.832831168831169,0.6309439918849415,0.5348952808701517,0.6531219535045643,0.7686635944700462,0.8842052354355282,0.6435164835164837,0.43070643642072226,0.38130562792562317
9,9,LGBM,0.7685100294603877,0.8255268061238213,0.8825435827872549,0.8113246753246756,0.558499851002205,0.4739320749256664,0.6548297410658206,0.7699376524803473,0.885045563894874,0.6610989010989012,0.45825248685325715,0.41864722577467683
