,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7387377271463378,0.7989384557058005,0.8591391842652631,0.7781818181818182,0.5734265734265733,0.4364333227852337,0.5725569074417771,0.7039848197343453,0.8354127320269136,0.5846153846153846,0.3414634146341463,0.19044358666884745
1,1,LGBM,0.7811480163363158,0.8350386986750624,0.888929381013809,0.8036363636363636,0.6086956521739131,0.4857703127598091,0.6314566340438647,0.7523719165085389,0.873287198973213,0.5538461538461539,0.2564102564102564,0.11106775622528142
2,2,LGBM,0.7675823434154226,0.8192712154561017,0.8709600874967808,0.7563636363636363,0.5179856115107914,0.39036116528443365,0.5515474816576584,0.6840607210626185,0.8165739604675786,0.5846153846153846,0.2285714285714286,0.2681783347868999
3,3,LGBM,0.7646468985185613,0.8204258782042588,0.8762048578899564,0.8072727272727273,0.576,0.4667918951332739,0.5883750641156544,0.7172675521821633,0.8461600402486722,0.5846153846153846,0.27027027027027023,0.22755839596089147
4,4,LGBM,0.7536520423405021,0.8131731565865783,0.8726942708326545,0.8036363636363636,0.55,0.4418564389808348,0.5474911583809862,0.681214421252372,0.8149376841237578,0.6153846153846154,0.4186046511627908,0.26015413921051805
5,5,LGBM,0.7297915115368191,0.7913238593866867,0.8528562072365543,0.7963636363636364,0.5757575757575758,0.485411251566404,0.5965854391642758,0.7248576850094878,0.8531299308546998,0.5692307692307692,0.2631578947368421,0.16509747577712403
6,6,LGBM,0.7289304536652972,0.7852233676975945,0.8415162817298918,0.76,0.5074626865671641,0.3719076889450037,0.535918475772831,0.6707779886148008,0.8056375014567705,0.5076923076923077,0.15789473684210525,-0.033630967287932675
7,7,LGBM,0.7635642976062927,0.8204693775100402,0.8773744574137877,0.8036363636363636,0.6301369863013699,0.5086681740171187,0.6802670760781367,0.7903225806451611,0.9003780852121855,0.6153846153846154,0.3243243243243243,0.33397059551094865
8,8,LGBM,0.7702342936652057,0.8269704433497536,0.8837065930343014,0.8109090909090909,0.6,0.48285514079365716,0.5389574749258699,0.6755218216318787,0.8120861683378875,0.5692307692307692,0.2631578947368421,0.16509747577712403
9,9,LGBM,0.7696753666754701,0.8251983326610193,0.8807212986465685,0.7890909090909091,0.546875,0.42249769441377705,0.6346957707752175,0.7533206831119544,0.8719455954486913,0.6461538461538462,0.41025641025641024,0.3923432427698253
