,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7396424530028076,0.7982770997846376,0.8569117465664675,0.8003116883116881,0.5547817035174368,0.4203544240863444,0.5775264322821498,0.7066955814583901,0.8359185798138407,0.6347252747252748,0.7011904761904764,0.33683991566746085
1,1,LGBM,0.7317023226675788,0.790053651717233,0.849772196283815,0.7767272727272729,0.5408767321011116,0.3979681765846193,0.6554680299757696,0.7597045269720794,0.9006447377119513,0.6206593406593409,0.7011904761904764,0.33464218523093536
2,2,LGBM,0.734187537159361,0.7926209997355199,0.8511054454566007,0.7822337662337664,0.5615261756876665,0.42309300628445395,0.6076209687152557,0.730712930333424,0.8538048919515923,0.6180219780219781,0.7011904761904764,0.3343979008756276
3,3,LGBM,0.7301254467546852,0.7882514074130051,0.8464555685764308,0.8005194805194809,0.5696001879012477,0.46087073504175674,0.6246655963728085,0.7341284901057199,0.8578066336255564,0.6558241758241761,0.7011904761904764,0.33332320843290664
4,4,LGBM,0.7392795390272024,0.7978218158461481,0.856364092665094,0.7810909090909093,0.555367157170998,0.4152425256700718,0.6676793450206195,0.7768229872594202,0.8859666294982208,0.6329670329670332,0.7011904761904764,0.3613288007424589
5,5,LGBM,0.7367740310979873,0.7948955302829942,0.853017029468001,0.7865974025974027,0.5582949507170827,0.42618901152797095,0.6084124600688204,0.7300894551368937,0.851766450204967,0.6347252747252748,0.7011904761904764,0.3716568162459673
6,6,LGBM,0.7300369640101494,0.78981750859561,0.8497482304656139,0.7836883116883119,0.547040050401077,0.4156826612273704,0.6240803604174243,0.7434535104364329,0.8628266604554413,0.6140659340659342,0.7011904761904764,0.3375940664429756
7,7,LGBM,0.7335009172208545,0.7921581592171393,0.8510954262602681,0.7890909090909094,0.5679287496248118,0.4298332802955315,0.6417861263207809,0.7589861751152076,0.8761862239096344,0.6092307692307695,0.7011904761904764,0.3111214930194978
8,8,LGBM,0.7392530257920624,0.7977878112366346,0.8563225966812066,0.8003116883116881,0.5827295722793343,0.4491695884846221,0.6216930913838979,0.7407156410951479,0.8598898505030902,0.6254945054945057,0.7011904761904764,0.3569775411873879
9,9,LGBM,0.7344091159848887,0.7922582839007069,0.850831111710547,0.7872207792207796,0.5671623300158449,0.4325236107119325,0.6491967206639477,0.7653293575494715,0.8814619944349954,0.6202197802197804,0.7011904761904764,0.3428961154725365
