,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7922753068925883,0.8414347847990733,0.8905942627055583,0.7879480519480522,0.6135830989287212,0.5137468451148701,0.7026104403997141,0.8103008945513692,0.9179913487030243,0.6303296703296706,0.38685278685278696,0.35652724304735506
1,1,LGBM,0.7643881818887733,0.8185846302597575,0.8727810786307415,0.7865974025974029,0.5500086731459057,0.43000995187048996,0.6731599837431754,0.7889943074003796,0.9048286310575838,0.6804395604395607,0.5422860994751795,0.4029119200361838
2,2,LGBM,0.7856432821786845,0.8395062392426853,0.8933691963066861,0.8233766233766237,0.6547843362607784,0.557681728967326,0.6356527757360957,0.753767958796422,0.8761887212502075,0.6334065934065936,0.37598049176996556,0.36894397427039205
3,3,LGBM,0.7729067108127244,0.8263044546038464,0.8805975043142003,0.811844155844156,0.5967155844671663,0.4924093274270631,0.614147791114555,0.7385199240986718,0.8638333337607,0.6549450549450552,0.46364426271403025,0.4081441102462116
4,4,LGBM,0.7485484572866701,0.8052302596431246,0.8621796905726108,0.8018701298701303,0.5921463390120109,0.5010944933643113,0.6848568342937744,0.7950664136622394,0.9052759930307042,0.6167032967032969,0.3642068973338324,0.3296846567842968
5,5,LGBM,0.8008728465118395,0.8519831741618676,0.903205416709142,0.8206753246753249,0.6465032176362226,0.545328429051177,0.6476250050344458,0.7670642450528601,0.8881648048575925,0.633846153846154,0.40353190668980154,0.3434626380347646
6,6,LGBM,0.7883587135136736,0.8384105721146038,0.8884624307155339,0.8160000000000003,0.6328847264926796,0.5312770660216177,0.6453278747792142,0.7612089997289241,0.877090124678634,0.6492307692307694,0.41829396776765215,0.39792684627235175
7,7,LGBM,0.7018299366268617,0.7707072484166082,0.8395845602063547,0.819844155844156,0.5484423246179889,0.4240568800315394,0.6765854372552249,0.7915424234209816,0.9064994095867382,0.6487912087912089,0.49821428571428683,0.3990098792646818
8,8,LGBM,0.7747220587955241,0.8269278770939904,0.8791336953924567,0.7956363636363639,0.6200410007465688,0.49767567867803664,0.6169202169736956,0.7401734887503391,0.8634267605269824,0.611868131868132,0.38061702097645633,0.3239977531782402
9,9,LGBM,0.8036311762458731,0.8513713021327236,0.8991114280195743,0.8101818181818184,0.5844058273203656,0.49474076968638214,0.6489194012621025,0.7664407698563298,0.8839621384505572,0.6285714285714288,0.49821428571428683,0.3385502367379378
