,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7712305928396086,0.8229105442576701,0.8745904956757315,0.7781818181818182,0.6211180124223603,0.4839500768485859,0.5985829302378369,0.7277039848197343,0.8568250394016317,0.6,0.3157894736842105,0.2644616973096524
1,1,LGBM,0.7535619432532299,0.8071065989847716,0.8606512547163132,0.7709090909090909,0.5333333333333333,0.3947017432726794,0.526184881273339,0.6612903225806451,0.7963957638879513,0.5846153846153846,0.4,0.17406342948840103
2,2,LGBM,0.7656223925472327,0.8226029116465863,0.8795834307459398,0.8145454545454546,0.6330935251798562,0.5330489776745758,0.6041646993101553,0.7267552182163187,0.8493457371224822,0.6,0.3157894736842105,0.2644616973096524
3,3,LGBM,0.7720792109759779,0.8266992859032002,0.8813193608304225,0.7963636363636364,0.582089552238806,0.4578610278063756,0.6208042288295225,0.7447817836812144,0.8687593385329063,0.6,0.3157894736842105,0.2644616973096524
4,4,LGBM,0.7447179585935302,0.8017950635751683,0.8588721685568064,0.7636363636363637,0.5390070921985816,0.4010032234877953,0.6380734440025025,0.7580645161290321,0.8780555882555617,0.5692307692307692,0.2222222222222222,0.1867275359327644
5,5,LGBM,0.7841618227736016,0.8358397573613042,0.8875176919490069,0.7818181818181819,0.589041095890411,0.4498948756384554,0.6532160641305789,0.7694497153700192,0.8856833666094595,0.5692307692307692,0.2222222222222222,0.1867275359327644
6,6,LGBM,0.7625281298912615,0.8169467964109692,0.871365462930677,0.8,0.5864661654135338,0.4866113588987584,0.636042586705816,0.7552182163187856,0.8743938459317552,0.5846153846153846,0.27027027027027023,0.22755839596089147
7,7,LGBM,0.6995269388907959,0.7684729064039408,0.8374188739170858,0.7709090909090909,0.49600000000000005,0.3590872633986614,0.5892147146282299,0.7163187855787475,0.8434228565292651,0.5846153846153846,0.30769230769230765,0.20482625174012936
8,8,LGBM,0.7677916381344232,0.8193675402977728,0.8709434424611224,0.7818181818181819,0.6000000000000001,0.46377635845198883,0.5774361439008496,0.7058823529411765,0.8343285619815034,0.5692307692307692,0.30000000000000004,0.15229561714427434
9,9,LGBM,0.7644027852396231,0.8170636470128855,0.8697245087861478,0.7818181818181819,0.5161290322580646,0.4096635608289064,0.587981990420853,0.7144212523719166,0.8408605143229801,0.6,0.27777777777777773,0.30232077246257094
