,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6995577034065316,0.7474131415018115,0.7952685795970914,0.6887755102040817,0.6789473684210526,0.3770030669706755,0.5578472113671858,0.6878557874762808,0.8178643635853758,0.6307692307692307,0.5862068965517241,0.25771565946645386
1,1,LGBM,0.7552346266858398,0.7984205176323402,0.8416064085788406,0.7168367346938775,0.7116883116883117,0.4339503117200598,0.5333767142048784,0.6679316888045542,0.80248666340423,0.6307692307692307,0.6000000000000001,0.2583442120835885
2,2,LGBM,0.7562860368129686,0.7999320652173912,0.8435780936218139,0.7244897959183674,0.7244897959183675,0.4544314381270903,0.512632592466106,0.6480075901328274,0.7833825877995487,0.6615384615384615,0.6206896551724138,0.32022132314301915
3,3,LGBM,0.7569745414338975,0.8001411875441211,0.8433078336543447,0.7346938775510204,0.7305699481865285,0.47309949174802274,0.5631647587872873,0.691650853889943,0.8201369489925986,0.6461538461538462,0.5818181818181819,0.29065236185534626
4,4,LGBM,0.7394093283741233,0.7846093648102257,0.8298094012463281,0.7270408163265306,0.7176781002638523,0.45371750167145414,0.5271433166495051,0.6603415559772295,0.793539795304954,0.6307692307692307,0.6000000000000001,0.2583442120835885
5,5,LGBM,0.6921855489559741,0.7408622305529522,0.7895389121499303,0.6862244897959183,0.6917293233082707,0.3723292198084757,0.5309832440765773,0.6650853889943072,0.7991875339120372,0.6461538461538462,0.5818181818181819,0.29065236185534626
6,6,LGBM,0.7508831885370882,0.7952604166666668,0.8396376447962454,0.7525510204081632,0.7413333333333334,0.504965322994979,0.5313519397196189,0.6650853889943072,0.7988188382689956,0.5846153846153846,0.5423728813559322,0.1645994060571564
7,7,LGBM,0.7388480708428395,0.7842447916666668,0.8296415124904941,0.7244897959183674,0.7216494845360826,0.44907311951024936,0.5534879679286147,0.6840607210626185,0.8146334741966224,0.6461538461538462,0.5964912280701755,0.28922238652601767
8,8,LGBM,0.7516426586329807,0.7951766304347828,0.8387106022365849,0.7270408163265306,0.7161803713527852,0.45404940021493395,0.5722888823903093,0.7011385199240986,0.8299881574578879,0.676923076923077,0.6440677966101694,0.3512091978080023
9,9,LGBM,0.7303157430985785,0.776107347576863,0.8218989520551474,0.7142857142857143,0.7171717171717172,0.4308961550295632,0.5353037654921016,0.6698292220113852,0.8043546785306688,0.6923076923076923,0.6428571428571428,0.38474837140384716
