,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7496147718221375,0.7984578268100159,0.8473008817978942,0.7659620991253646,0.5544395585891719,0.36978452866167694,0.5835097521284592,0.7115885063702903,0.8396672606121213,0.6184615384615386,0.7011904761904764,0.28336750347908746
1,1,LGBM,0.7550002647894425,0.8039219544187574,0.8528436440480722,0.7475947521865891,0.5702272453525872,0.3861628319553982,0.5573739547543344,0.6926267281105993,0.8278795014668643,0.6496703296703299,0.6763072908826335,0.3148029561245869
2,2,LGBM,0.7466645968250801,0.7966111540533578,0.8465577112816356,0.7392857142857145,0.5406617923034642,0.33769945319800443,0.5100693173363449,0.6468961778259693,0.7837504039643004,0.670769230769231,0.6423588540590665,0.3348062052165214
3,3,LGBM,0.745362848469905,0.7940767807368891,0.8438655565563111,0.7659620991253646,0.5700887269573414,0.38350365277183673,0.6103826851442977,0.7344266738953649,0.858470662646432,0.7006593406593409,0.723205804060755,0.4203291437110921
4,4,LGBM,0.7454112495078579,0.7945012062867451,0.8438911197826068,0.7475947521865891,0.5503466722357968,0.3578947555564046,0.5961201903693227,0.7207915424234212,0.8454628944775195,0.6918681318681321,0.7275013703368136,0.41908335232267946
5,5,LGBM,0.7460922989661859,0.7953697327430729,0.844662103545722,0.7659620991253646,0.5417750337293423,0.34542984706142754,0.5684951915866476,0.6981973434535106,0.8278994953203738,0.6813186813186816,0.705527210884354,0.3574539854967526
6,6,LGBM,0.7439831306153712,0.7936785889958544,0.8433740473763375,0.7425655976676386,0.5408343385842493,0.33911266333083945,0.5708580667079128,0.7008267823258338,0.8307954979437548,0.7107692307692309,0.7128214922332571,0.4266362140307386
7,7,LGBM,0.7496699062028569,0.7993169840489076,0.8491969802548698,0.7659620991253646,0.5493802284268423,0.35330191764364555,0.5888960355519517,0.7149227432908649,0.840949451029778,0.7090109890109892,0.7078703703703706,0.4161579260466167
8,8,LGBM,0.7416872066780379,0.7916070550207296,0.8415269033634213,0.7480320699708457,0.5524474940709987,0.3598635779386951,0.6334851304944619,0.7528598536188672,0.8722345767432725,0.6830769230769234,0.7468318492708738,0.47036305996471367
9,9,LGBM,0.7571640403417539,0.805798608671211,0.8544331770006681,0.7659620991253646,0.5522848947237161,0.36152830985176987,0.6027064340115019,0.7273651396042291,0.8520238451969562,0.7103296703296705,0.7149618286328061,0.41870134072133325
