,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7519908269122539,0.7965263382001952,0.8410618494881363,0.7328717201166183,0.7206784497878411,0.4655342973874888,0.652725512971845,0.7697750067769046,0.887245315306822,0.7142857142857144,0.730397497982244,0.42942013959993247
1,1,LGBM,0.7049591497087306,0.7524560777138098,0.7999530057188892,0.6948979591836737,0.7188688444661142,0.39457894647461156,0.5702590719899493,0.7000000000000002,0.8297409280100512,0.7142857142857145,0.7011904761904764,0.4271165590200441
2,2,LGBM,0.758644355018646,0.8023028300154746,0.8459613050123034,0.7369533527696794,0.7307543534002123,0.4796224980701509,0.6406817272176892,0.76096503117376,0.8812483351298308,0.7362637362637365,0.7052757166289154,0.47324227003242014
3,3,LGBM,0.7581297237158307,0.8019430211108837,0.8457563185059368,0.7381924198250731,0.732317521550788,0.47700414841492556,0.6807505375921721,0.790783410138249,0.900816282684326,0.7507692307692311,0.7011904761904764,0.5643310292145616
4,4,LGBM,0.7413934371062055,0.7862438269768552,0.8310942168475048,0.7270408163265307,0.723809523809524,0.4584233890151284,0.6449542789597684,0.7609650311737601,0.8769757833877518,0.7402197802197805,0.7011904761904764,0.49465537742566573
5,5,LGBM,0.7383094223983797,0.7831523034745815,0.8279951845507835,0.7171282798833822,0.759408866995074,0.43363168248345757,0.6581393953718043,0.7745459474112228,0.8909524994506411,0.7525274725274729,0.7565476190476192,0.5208002508884203
6,6,LGBM,0.7129204706259216,0.7603784444653439,0.8078364183047662,0.708381924198251,0.6767953827256854,0.4113279105285225,0.5994030813860893,0.7261046354025484,0.8528061894190075,0.6927472527472529,0.6581034270243162,0.3837574565103126
7,7,LGBM,0.7285260024932999,0.774419599831806,0.8203131971703121,0.7183673469387757,0.7116005227319626,0.4362200324561195,0.6140250392785842,0.7374627270262946,0.860900414774005,0.7063736263736267,0.7011904761904764,0.41793842868840236
8,8,LGBM,0.7220496294975254,0.768408681810744,0.8147677341239625,0.7103498542274056,0.7188688444661142,0.42081166287238514,0.6289156316857376,0.7481431282190298,0.867370624752322,0.6694505494505496,0.7011904761904764,0.3438986040935068
9,9,LGBM,0.7440203712862777,0.7892295094171073,0.834438647547937,0.7399416909620994,0.7453682974913637,0.47980618658108,0.6691554696109503,0.7839522905936571,0.8987491115763638,0.7652747252747256,0.7063030110843653,0.5574295858829401
