,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.731479310526211,0.7738485117367105,0.8162177129472101,0.7430255402750493,0.8056765943572262,0.4325300544437456,0.6888609459883899,0.7973841149362972,0.9059072838842046,0.7525274725274728,0.7056869196491841,0.5126183716888065
1,1,LGBM,0.7812648284536786,0.8184674885182502,0.8556701485828219,0.7626719056974463,0.8166058188938297,0.48844229291866065,0.691296332923198,0.8010300894551372,0.9122793095686585,0.7692307692307694,0.7589417317357621,0.5375993719418064
2,2,LGBM,0.7740131395897762,0.8115607677272583,0.8493131173923874,0.7599214145383105,0.8109192094393158,0.49323410919089306,0.6541383843043713,0.7706695581458392,0.887200731987307,0.7323076923076925,0.7237962529977306,0.46262067551651165
3,3,LGBM,0.7828654609878187,0.8202676837725383,0.8576699065572579,0.7581813078866126,0.8202584701362211,0.4815699295438486,0.5862985261706802,0.7151531580374086,0.844007789904137,0.7028571428571431,0.7073714221102283,0.4111151235864946
4,4,LGBM,0.8108211913915073,0.844827684827685,0.8788968992849191,0.788717373000281,0.8373081520171811,0.5374326892485437,0.7358274853189798,0.833152615885064,0.9304777464511482,0.7617582417582419,0.7063926908670846,0.5577974117638924
5,5,LGBM,0.7735294492812357,0.8120698216979455,0.8506101941146553,0.7684535503788944,0.8317229437229439,0.49805937108601755,0.6410071396716741,0.758281377066956,0.8755556144622378,0.743736263736264,0.7456006062902617,0.4909205790539205
6,6,LGBM,0.7690074797735997,0.8066736082635719,0.8443397367535441,0.7493123772102164,0.8047136403389763,0.4645474243340583,0.7199883484326945,0.8261588506370294,0.9323293528413642,0.7793406593406597,0.795928692397919,0.580593161454771
7,7,LGBM,0.779865506034917,0.8174378070413226,0.8550101080477281,0.7579006455234355,0.8111992679788858,0.47418726303476766,0.679498201889295,0.7901870425589594,0.9008758832286241,0.754725274725275,0.7329066424933506,0.5099679558113246
8,8,LGBM,0.7781215754767936,0.815915741614066,0.8537099077513385,0.7729441481897281,0.8540779839945516,0.4888211758758563,0.6239485942282126,0.7440227703984823,0.8640969465687518,0.7191208791208794,0.7084046521834544,0.43765521545268277
9,9,LGBM,0.7628694080947331,0.8011349530867806,0.8394004980788281,0.7482458602301434,0.8026193774162659,0.4695668246056478,0.6593096444094708,0.7737327188940095,0.8881557933785482,0.7235164835164838,0.7140805513595996,0.44643984633911005
