,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7229792301285124,0.7656468219169184,0.8083144137053243,0.7210216110019646,0.786144578313253,0.39610456373674396,0.5663781457947022,0.6982922201138521,0.8302062944330019,0.6307692307692307,0.5862068965517241,0.25771565946645386
1,1,LGBM,0.7938238374889686,0.8295707420904956,0.8653176466920227,0.7583497053045186,0.810477657935285,0.48514968059331226,0.558282368635419,0.6888045540796964,0.8193267395239738,0.6461538461538462,0.634920634920635,0.291943259110678
2,2,LGBM,0.708228437628399,0.7516396668197021,0.7950508960110051,0.6994106090373281,0.7627906976744186,0.35359208669647185,0.5552677258494024,0.6850094876660341,0.8147512494826658,0.6153846153846154,0.5614035087719298,0.22634795467253557
3,3,LGBM,0.75760014693848,0.7969269102990034,0.8362536736595269,0.7426326129666012,0.7993874425727412,0.4572647987790428,0.5826111944794206,0.7106261859582544,0.8386411774370883,0.6153846153846154,0.5614035087719298,0.22634795467253557
4,4,LGBM,0.7218819749882187,0.7647540983606558,0.8076262217330928,0.7229862475442044,0.7779527559055118,0.41357836487801847,0.5655965438604649,0.6954459203036053,0.8252952967467457,0.6461538461538462,0.5964912280701755,0.28922238652601767
5,5,LGBM,0.7500744943032559,0.7897619203777793,0.8294493464523026,0.7406679764243614,0.796923076923077,0.44027758089436025,0.5684419559990557,0.6982922201138521,0.8281424842286484,0.6307692307692307,0.6363636363636364,0.26616017681406645
6,6,LGBM,0.7305232523797025,0.7724467909585877,0.8143703295374729,0.7210216110019646,0.7767295597484276,0.4050258290387902,0.5966104905809507,0.722011385199241,0.8474122798175313,0.6615384615384615,0.6206896551724138,0.32022132314301915
7,7,LGBM,0.7392495122748498,0.779317974749447,0.8193864372240441,0.7072691552062869,0.7711213517665131,0.36949644019341576,0.5579986809065194,0.6869070208728653,0.8158153608392111,0.6461538461538462,0.634920634920635,0.291943259110678
8,8,LGBM,0.7398519130221433,0.7800768882858437,0.820301863549544,0.7210216110019646,0.7767295597484277,0.40740820748756446,0.5691150310255296,0.6992409867172676,0.8293669424090057,0.6461538461538462,0.5964912280701755,0.28922238652601767
9,9,LGBM,0.7478488921845047,0.7879160490499934,0.827983205915482,0.724950884086444,0.7859327217125383,0.4013420747400293,0.5947432934599584,0.7201138519924098,0.8454844105248613,0.6307692307692307,0.6000000000000001,0.2583442120835885
