,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7623570666335562,0.8206783064651088,0.8789995462966613,0.8172467532467536,0.6235170604884791,0.5183238568965798,0.651110345877228,0.7690702087286531,0.8879744142294022,0.6496703296703299,0.41036171509855734,0.4095115449714607
1,1,LGBM,0.7716165314763055,0.8256074069471202,0.8795982824179347,0.8107012987012989,0.5614867324047801,0.4472316945435311,0.640146299619848,0.7580103008945515,0.8758743021692549,0.6936263736263738,0.5326498971681697,0.4749082668106752
2,2,LGBM,0.7633505539671149,0.8189631224390586,0.8745756909110022,0.7972987012987014,0.6181019447607135,0.5072592331368229,0.6299372158117398,0.7509352127947956,0.8719332097778514,0.6549450549450553,0.46257308501210964,0.39784117020394294
3,3,LGBM,0.809416434516496,0.8572064946635397,0.9057235460202767,0.8249350649350652,0.6492726149794089,0.5519809226422123,0.6586181327941459,0.7750880997560317,0.8915580667179174,0.6246153846153848,0.3998507602101955,0.336901584764579
4,4,LGBM,0.7530164978341161,0.8111717100633359,0.8696680513376907,0.815792207792208,0.6001612028524472,0.491966729772777,0.7328390613779598,0.8304825155868802,0.9281259697958005,0.6400000000000001,0.4047690655209453,0.3737868146497999
5,5,LGBM,0.7798750957252264,0.8341046563552961,0.8885141330274247,0.8170389610389613,0.6227197669672666,0.5001372782589053,0.6744264447729319,0.7866223908918408,0.8988183370107499,0.6426373626373628,0.4179469311176629,0.3782951743444094
6,6,LGBM,0.7789962232424472,0.8324574676163414,0.8859187119902359,0.8073766233766237,0.592686600930876,0.49347005785750014,0.7544704673678608,0.8478313906207646,0.9411923138736685,0.6215384615384618,0.34198101431184147,0.3459725632643114
7,7,LGBM,0.7741615633609307,0.8270552852720037,0.8818755091122021,0.8005194805194807,0.632060740085508,0.506430231922413,0.6859073554543578,0.7941989699105452,0.9063696570039651,0.6479120879120881,0.4127020253336044,0.40077031174671796
8,8,LGBM,0.7727326175887342,0.8280876190476191,0.8834426205065042,0.8253506493506496,0.598889260622282,0.523867650099739,0.6674066153445091,0.7809704526972082,0.8945342900499071,0.6241758241758244,0.3530055909003278,0.3521398872766529
9,9,LGBM,0.7741252651571637,0.8259159663865547,0.877706667615946,0.7861818181818184,0.5705977603893797,0.4625249714908574,0.6571623855563941,0.7709406343182437,0.8847188830800933,0.6171428571428574,0.3398590427161856,0.33774829367488207
