,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7286334556526345,0.7893401015228426,0.8500467473930508,0.7636363636363637,0.5637583892617449,0.4029900277883435,0.42183676898450084,0.5635673624288425,0.7052979558731842,0.5230769230769231,0.39215686274509803,0.03080205518168487
1,1,LGBM,0.7054861291459791,0.7694649847759896,0.8334438404060001,0.7636363636363637,0.47154471544715443,0.32179602389447454,0.43798308045705237,0.5787476280834914,0.7195121757099305,0.5538461538461539,0.45283018867924524,0.09814319724859472
2,2,LGBM,0.6989435974385,0.7601482741857073,0.8213529509329146,0.7272727272727273,0.5398773006134969,0.35007002100700246,0.46861044550761455,0.6100569259962049,0.7515034064847952,0.6,0.5,0.1965827648258288
3,3,LGBM,0.7432016235989019,0.7999236349751814,0.8566456463514609,0.7672727272727272,0.5897435897435898,0.4282592511195123,0.4681434253814884,0.6072106261859583,0.7462778269904282,0.5692307692307692,0.4615384615384615,0.1307174054769686
4,4,LGBM,0.7214557920550089,0.7821565407772304,0.8428572894994519,0.7563636363636363,0.5442176870748299,0.3782057526207836,0.4711432954786617,0.6100569259962049,0.7489705565137481,0.5538461538461539,0.4727272727272728,0.09917529914658775
5,5,LGBM,0.7173185376655627,0.7785592497868713,0.8397999619081798,0.7490909090909091,0.5174825174825175,0.3492615587919016,0.32667582056047917,0.47058823529411764,0.6145006500277561,0.46153846153846156,0.339622641509434,-0.09714173605218049
6,6,LGBM,0.7209782142240616,0.7839059674502712,0.8468337206764808,0.7818181818181819,0.5652173913043479,0.4316827850534754,0.4736199967358644,0.611954459203036,0.7502889216702077,0.6,0.4583333333333333,0.2027180707648119
7,7,LGBM,0.7187015846917981,0.7790092879256965,0.8393169911595948,0.76,0.611764705882353,0.43808049535603716,0.43670757818168726,0.579696394686907,0.7226852111921268,0.6,0.5,0.1965827648258288
8,8,LGBM,0.763735851272739,0.8178000000000001,0.8718641487272611,0.7781818181818182,0.5734265734265734,0.42496357153497394,0.3842320921928014,0.5284629981024668,0.6726939040121321,0.5692307692307692,0.41666666666666663,0.13262937608548864
9,9,LGBM,0.7254067163459356,0.7841486068111456,0.8428904972763557,0.7672727272727272,0.6049382716049382,0.441640622710913,0.4451070511705443,0.5853889943074005,0.7256709374442568,0.5384615384615384,0.4230769230769231,0.06485204612810846
