,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7360419793116475,0.7939320663467717,0.8518221533818957,0.796675324675325,0.5820676492556338,0.4585794078180064,0.629453150439202,0.753158037408512,0.8768629243778219,0.6219780219780222,0.7011904761904764,0.32062003831541197
1,1,LGBM,0.7282704323142893,0.7869667888313752,0.8458361937050509,0.7814025974025975,0.5492688028866317,0.4150784756069983,0.6581093893612757,0.7682434264028193,0.881594574338315,0.684835164835165,0.7011904761904764,0.4380003294142203
2,2,LGBM,0.7347343416455605,0.7928231382476294,0.8509119348496983,0.7843116883116886,0.5711586457165239,0.43119537304524297,0.5895163286861428,0.7147736513960427,0.8400309741059423,0.6114285714285717,0.7011904761904764,0.31844134613508557
3,3,LGBM,0.736492112673652,0.7949522046321836,0.853512517357922,0.8003116883116881,0.5523248948476067,0.4132960948968022,0.6150357781581792,0.735836269991868,0.8566367618255568,0.6246153846153848,0.7011904761904764,0.33425961912359536
4,4,LGBM,0.734720691192714,0.7927740204783317,0.8514515769954664,0.7833766233766236,0.5589306825392183,0.4245680966378259,0.6057323150781502,0.7259690973163462,0.8683256952227449,0.6171428571428574,0.7011904761904764,0.33001142700915626
5,5,LGBM,0.7255477429291362,0.7844750066120074,0.8444170591679786,0.7812987012987015,0.5427390696652536,0.4042021450776807,0.6322559910391303,0.7479804825155871,0.8637049739920438,0.6048351648351651,0.7011904761904764,0.3153222633838973
6,6,LGBM,0.7338458034657798,0.7921487134922738,0.8504516235187676,0.7825454545454549,0.5542518253542305,0.420304726482286,0.6372731105930144,0.7557197072377341,0.8741663038824536,0.6180219780219782,0.7011904761904764,0.3430916411866679
7,7,LGBM,0.7385843417698166,0.797103940756414,0.8556235397430112,0.8003116883116881,0.5501781990099974,0.42548704370950957,0.6097143100025665,0.7331932773109247,0.8566722446192827,0.6092307692307695,0.7011904761904764,0.319939727515378
8,8,LGBM,0.7370538624914058,0.7947538444100204,0.852453826328635,0.7764155844155847,0.5454717985997972,0.40576878177879333,0.6024561197034723,0.7268094334508,0.8511627471981273,0.6400000000000001,0.7011904761904764,0.32841038107781195
9,9,LGBM,0.7279452724092338,0.7883118600521406,0.849184950957788,0.7930389610389613,0.5770511080958844,0.44964907714632707,0.5688771745323673,0.6982922201138523,0.828700010828675,0.6184615384615386,0.7011904761904764,0.3290771331687589
