,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7140798157826578,0.7741999471039408,0.8343200784252238,0.7490909090909091,0.5369127516778524,0.3650777775346854,0.5110233246453095,0.6470588235294118,0.7830943224135141,0.5538461538461539,0.35555555555555557,0.09913546315233436
1,1,LGBM,0.7229849962461178,0.7814070351758794,0.839829074105641,0.7381818181818182,0.5135135135135136,0.33481683810466045,0.5244788200254349,0.6593927893738142,0.7943067587221935,0.5846153846153846,0.4,0.17406342948840103
2,2,LGBM,0.7212682094081518,0.7811425548796614,0.841016900351171,0.7454545454545455,0.5205479452054795,0.3482235031488482,0.4670356130716812,0.6062618595825425,0.7454881060934039,0.5846153846153846,0.4489795918367347,0.1662624460141203
3,3,LGBM,0.7259484446493754,0.784779158952658,0.8436098732559407,0.7527272727272727,0.5405405405405405,0.3718094578229335,0.47432419370017853,0.613851992409867,0.7533797911195554,0.5538461538461539,0.43137254901960786,0.09753984140866875
4,4,LGBM,0.718428284296493,0.7781010314731552,0.8377737786498175,0.7527272727272727,0.5526315789473685,0.3817773075905845,0.4555486480227926,0.5967741935483871,0.7379997390739816,0.5384615384615384,0.34782608695652173,0.0618602616152682
5,5,LGBM,0.7097310836905866,0.77109230362338,0.8324535235561734,0.7418181818181818,0.5170068027210885,0.3414740025847879,0.45263714388979837,0.5939278937381404,0.7352186435864824,0.5384615384615384,0.4444444444444444,0.06639967200033459
6,6,LGBM,0.7234559067998616,0.7827955567310234,0.8421352066621852,0.76,0.5657894736842105,0.3999603279555673,0.47644895136297827,0.6148007590132828,0.7531525666635873,0.6,0.5,0.1965827648258288
7,7,LGBM,0.7120935844810431,0.773406506215287,0.8347194279495308,0.7636363636363637,0.5695364238410596,0.40665594820849166,0.4731100505563005,0.6129032258064516,0.7526964010566027,0.5846153846153846,0.47058823529411764,0.16427762763565265
8,8,LGBM,0.7119786723198126,0.7720179846601427,0.8320572970004728,0.7454545454545455,0.5270270270270271,0.353313147963797,0.4202427804627494,0.562618595825427,0.7049944111881046,0.5230769230769231,0.39215686274509803,0.03080205518168487
9,9,LGBM,0.725318542792253,0.7841179582121132,0.8429173736319733,0.7527272727272727,0.5526315789473685,0.3817773075905845,0.5105234069971989,0.6470588235294118,0.7835942400616247,0.5846153846153846,0.425531914893617,0.16941130349926678
