,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.725223174284897,0.7840572757131787,0.8428913771414606,0.7772467532467535,0.527531306890346,0.40433843404056313,0.6248459301030749,0.7445378151260508,0.8642297001490267,0.6435164835164837,0.42644509961583144,0.3660134329830436
1,1,LGBM,0.8032077892434842,0.8486156567890317,0.8945182886081076,0.7955324675324678,0.6276454856759474,0.4978385740289185,0.6760203148132067,0.7913526701002984,0.9066850253873903,0.6435164835164837,0.4089781677458187,0.38797583987322215
2,2,LGBM,0.7730271801641662,0.8243186813186816,0.878518181717135,0.8149610389610392,0.6179959821200699,0.520547994930078,0.6208722192875935,0.7449715370018979,0.869070854716202,0.6369230769230771,0.4212671319144822,0.3643472000474595
3,3,LGBM,0.7777561098213909,0.8283659702903692,0.8789758307593475,0.772675324675325,0.48472642439087377,0.3945396325461487,0.6850098593801971,0.7948495527243159,0.9052305484925225,0.5986813186813189,0.2738081899426438,0.29970861250116854
4,4,LGBM,0.7318373371087461,0.7959310999593112,0.8600248628098766,0.8322077922077924,0.6046450697252836,0.5325344123011835,0.6764733427765062,0.7892382759555436,0.9020032091345813,0.6338461538461541,0.39384615384615396,0.37208295770125327
5,5,LGBM,0.7314880837330151,0.790370721932184,0.8492533601313531,0.7748571428571431,0.6024161788014755,0.45022871780005935,0.6940577829866879,0.805042016806723,0.9160262506267582,0.6443956043956046,0.4466012036743745,0.3741486184708789
6,6,LGBM,0.8124552149004952,0.8593478982913241,0.9071581633480289,0.8288831168831172,0.6545169090168188,0.5573004012846529,0.6422518492566078,0.7626457034426675,0.8830395576287274,0.6294505494505497,0.36485131748289656,0.36142070538954485
7,7,LGBM,0.7917440748447142,0.8439432553509211,0.8961424358571278,0.8245194805194809,0.6228017573124962,0.5132707981084922,0.7207152627494972,0.8220113851992412,0.9233075076489854,0.6536263736263738,0.4645352324794835,0.40841612771522795
8,8,LGBM,0.7076827576603579,0.7685165165165168,0.8293502753726757,0.7606233766233769,0.5511069313105881,0.4189784186467628,0.6040968509899647,0.729628625643806,0.8551604002976474,0.6342857142857146,0.5109243697478993,0.3400420483627462
9,9,LGBM,0.7910184639434265,0.8406787865748713,0.890716651056727,0.7982337662337665,0.6215379872371359,0.49370074621274207,0.6246702427667259,0.7478720520466254,0.8710738613265248,0.6281318681318684,0.6735119047619065,0.31596508886630326
