,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7252757269319317,0.7839705502454146,0.8426653735588976,0.7527272727272727,0.5584415584415584,0.38713710740432705,0.4515671717978269,0.5920303605313094,0.7324935492647919,0.5384615384615384,0.4444444444444444,0.06639967200033459
1,1,LGBM,0.7595443979504819,0.8136666666666668,0.8677889353828516,0.7781818181818182,0.5906040268456377,0.4385123023450593,0.48474730904521346,0.6223908918406073,0.760034474636001,0.6153846153846154,0.5454545454545454,0.2268266742857601
2,2,LGBM,0.764254150902483,0.8211990030171847,0.8781438551318864,0.8,0.5985401459854014,0.47454264537947016,0.3728885280889534,0.51707779886148,0.6612670696340066,0.49230769230769234,0.39999999999999997,-0.0284760759925846
3,3,LGBM,0.7433671303386186,0.8009418353060963,0.858516540273574,0.7745454545454545,0.5921052631578948,0.4390689150900075,0.38549081764164594,0.5284629981024668,0.6714351785632876,0.47692307692307695,0.29166666666666663,-0.07763670795248115
4,4,LGBM,0.7617144389004261,0.8149472891566265,0.8681801394128269,0.7709090909090909,0.5987261146496816,0.44057339517939464,0.41532925845621804,0.5578747628083492,0.7004202671604804,0.5692307692307692,0.44000000000000006,0.13127877736529978
5,5,LGBM,0.767247040185745,0.8202525055316933,0.8732579708776416,0.7781818181818182,0.5850340136054423,0.435962928655041,0.4675005285237317,0.6072106261859583,0.746920723848185,0.5692307692307692,0.44000000000000006,0.13127877736529978
6,6,LGBM,0.7368262754894513,0.7933306440769127,0.849835012664374,0.7454545454545455,0.5454545454545455,0.36960020812104505,0.42426566712412184,0.5664136622390893,0.7085616573540567,0.5692307692307692,0.41666666666666663,0.13262937608548864
7,7,LGBM,0.7402952324848362,0.8008667235009946,0.8614382145171531,0.7745454545454545,0.5156249999999999,0.37068158241801596,0.5273735935966306,0.6622390891840607,0.7971045847714908,0.6153846153846154,0.5454545454545454,0.2268266742857601
8,8,LGBM,0.7550873960190344,0.809624314056564,0.8641612320940936,0.7636363636363637,0.5517241379310345,0.39258101665822887,0.46199300658562703,0.601518026565465,0.7410430465453031,0.5384615384615384,0.4230769230769231,0.06485204612810846
9,9,LGBM,0.7185758655771488,0.7832390894591851,0.8479023133412213,0.7890909090909091,0.5671641791044776,0.427865462838198,0.4468507196286285,0.5872865275142315,0.7277223353998346,0.5692307692307692,0.4615384615384615,0.1307174054769686
