,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7133611812894806,0.7607311167235142,0.8081010521575478,0.7134110787172014,0.7041189507011121,0.42951209996821044,0.6825617094429687,0.7912442396313367,0.8999267698197049,0.7125274725274727,0.6579611366077533,0.43793980305539676
1,1,LGBM,0.7442099511702094,0.7890840773809528,0.8339904678263121,0.7217930029154521,0.7160507575815468,0.44321401608098254,0.5982110748143483,0.7229872594198972,0.8487010714814311,0.7010989010989013,0.7011904761904764,0.4123724343525733
2,2,LGBM,0.7551452719123224,0.7985533924620222,0.8419615130117222,0.7447521865889215,0.7470237011043023,0.4897796700157258,0.7307623432764648,0.8312550826782328,0.9317478220800007,0.7573626373626376,0.7051951306838528,0.5417980016121304
3,3,LGBM,0.7664025965948295,0.808815611630531,0.8512286266662324,0.7510204081632654,0.7520093778605793,0.5036124445102572,0.7239762775103626,0.826267281105991,0.9295623757923454,0.7507692307692311,0.7150970507680707,0.5386857790251036
4,4,LGBM,0.7191915100581122,0.7661943440293957,0.8131971780006793,0.7290816326530615,0.7273068680328186,0.4585985579611891,0.7014376740532154,0.8069124423963137,0.913558598368547,0.7358241758241761,0.6544372294372296,0.530309227729728
5,5,LGBM,0.7700056139145495,0.8117195456325894,0.8534334773506291,0.7470116618075804,0.7582649884774354,0.49312181265518595,0.5891846097379272,0.7161019246408242,0.8430192395437215,0.7235164835164838,0.6893352304880653,0.44614861542010414
6,6,LGBM,0.7191148719850031,0.76620148098409,0.8136355787899563,0.713119533527697,0.7503935129978538,0.42602277069415484,0.5999891134907078,0.7243968555164003,0.8488045975420929,0.6641758241758243,0.7011904761904764,0.3360183065295319
7,7,LGBM,0.7542322705462687,0.7978222792435993,0.8414122879409298,0.73731778425656,0.7295853788108484,0.47532793083761193,0.5733281053683643,0.7031986988343727,0.8330692923003811,0.678681318681319,0.6574641986089611,0.35458008708576005
8,8,LGBM,0.7345138291158695,0.7801278784745345,0.8257419278331992,0.7398688046647233,0.7380758508725869,0.4805336730487017,0.7343514844302278,0.8321496340471675,0.929947783664107,0.7705494505494508,0.7231174432036969,0.5542001624337153
9,9,LGBM,0.7370511558926596,0.7826643423326778,0.8282775287726962,0.7358600583090382,0.7308019152985974,0.47240456553899524,0.6072670927038321,0.7311466522092711,0.8550262117147102,0.6848351648351652,0.7011904761904764,0.367961068271727
