,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7587599276241995,0.798541153231985,0.8383223788397705,0.7526803255683415,0.8022607333908898,0.4750813371396443,0.6359058538121665,0.755597722960152,0.8752895921081376,0.7512087912087915,0.7524479135527731,0.5070955129761774
1,1,LGBM,0.7803389020298911,0.8178018123355748,0.8552647226412583,0.7670502385630089,0.8235540069686413,0.5018346031567021,0.6089747871407436,0.7333152615885066,0.8576557360362694,0.6962637362637365,0.7011904761904764,0.3925439701832106
2,2,LGBM,0.7847820982072382,0.8222017923719984,0.8597996415835072,0.7705304518664049,0.8867957439386013,0.5131966086688702,0.6361925150746882,0.758823529411765,0.8814545437488418,0.7424175824175825,0.7565476190476192,0.4847959059228465
3,3,LGBM,0.7730991047962388,0.8108242641318826,0.8485494234675265,0.7507156890261018,0.8027224714829123,0.4738445469680671,0.606344250494589,0.7337218758471133,0.8610995011996376,0.6949450549450551,0.6775224410408789,0.38814107437542267
4,4,LGBM,0.7777574018356037,0.8161992355470618,0.8547911667270303,0.7653662643839464,0.9129838985954096,0.4930386893009527,0.6129527265108435,0.7365139604228791,0.8600751943349145,0.7094505494505496,0.7565476190476192,0.4524968600656023
5,5,LGBM,0.7368338706809462,0.7783576598142684,0.8198814489475905,0.7328655627280384,0.8921098366353845,0.43232363514068006,0.6008094553157959,0.725047438330171,0.8492854213445464,0.6984615384615387,0.7565476190476192,0.39473304696429323
6,6,LGBM,0.7519536456383599,0.7918077575857931,0.8316618695332265,0.7296098793151842,0.7851056012741322,0.428726911638256,0.5837714423185847,0.7110599078341016,0.8383599221612822,0.7024175824175827,0.7184625200721451,0.41759695870700647
7,7,LGBM,0.7697267736385475,0.8080414564051506,0.8463561391717538,0.7621667134437274,0.80517103456329,0.5061506747852089,0.6802866019053326,0.7899159663865547,0.8995453308677769,0.7279120879120881,0.7004979800246888,0.45399720610670197
8,8,LGBM,0.777803400232769,0.8159521059702552,0.8541008117077412,0.7579006455234355,0.8365769496204281,0.47519043585097664,0.5926869636937634,0.7174573055028465,0.8422276473119296,0.6971428571428574,0.7011904761904764,0.3927466432739407
9,9,LGBM,0.7541055942086143,0.7941371455203476,0.834168696832081,0.7636261577322484,0.8429945054945058,0.48134484560698243,0.6288905258571869,0.7525074545947413,0.8761243833322958,0.6989010989010991,0.7011904761904764,0.39590622338632864
