,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.7602428861744122,0.7992828067454932,0.8383227273165743,0.7210216110019646,0.7724358974358974,0.41240903020421193,0.5929217648711893,0.7201138519924098,0.8473059391136304,0.6153846153846154,0.5762711864406779,0.22680266997410503
1,1,LGBM,0.7609708961050901,0.8007080450810353,0.8404451940569806,0.75049115913556,0.7987321711568938,0.4710738052132032,0.650478423343521,0.7694497153700192,0.8884210073965173,0.676923076923077,0.6037735849056604,0.358523108316295
2,2,LGBM,0.762512890880684,0.8013616469443995,0.840210403008115,0.75049115913556,0.7993680884676145,0.47055894087650474,0.6276771888393605,0.7476280834914611,0.8675789781435618,0.676923076923077,0.6037735849056604,0.358523108316295
3,3,LGBM,0.7547620549639055,0.7939890710382513,0.8332160871125972,0.724950884086444,0.7770700636942676,0.4200385921569351,0.5850093800481188,0.7153700189753319,0.8457306579025451,0.6,0.5,0.1965827648258288
4,4,LGBM,0.7655573457390236,0.8049832775919732,0.8444092094449228,0.7387033398821218,0.7925117004680187,0.44023058576325014,0.5461600169058264,0.6774193548387096,0.8086786927715929,0.6153846153846154,0.5454545454545454,0.2268266742857601
5,5,LGBM,0.7222903531870009,0.7646052031036057,0.8069200530202105,0.7111984282907662,0.7677725118483413,0.3862428533745095,0.5590149941211471,0.6907020872865276,0.8223891804519081,0.6307692307692307,0.5862068965517241,0.25771565946645386
6,6,LGBM,0.7586556190350617,0.7967416851798189,0.8348277513245761,0.7170923379174853,0.7684887459807075,0.40544004946777373,0.6070360026311499,0.7305502846299811,0.8540645666288122,0.676923076923077,0.6440677966101694,0.3512091978080023
7,7,LGBM,0.7485088933780637,0.7887692063994932,0.8290295194209227,0.7288801571709234,0.7692307692307692,0.4410336319256315,0.6096625269056516,0.7314990512333964,0.8533355755611413,0.6307692307692307,0.5714285714285714,0.2581223251190367
8,8,LGBM,0.7553235484134716,0.7955287906286093,0.8357340328437469,0.730844793713163,0.7869362363919129,0.4217568251177294,0.5715050943901481,0.6992409867172676,0.8269768790443872,0.6,0.5666666666666665,0.19637973317055066
9,9,LGBM,0.7564785558886215,0.7965478211658176,0.8366170864430137,0.7328094302554028,0.7894736842105263,0.42388228636106395,0.5868445430252917,0.7125237191650854,0.8382028953048791,0.6307692307692307,0.5555555555555556,0.2596524487177263
