,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6684544271274738,0.7167898888047722,0.7651253504820708,0.7474038731406121,0.5239507565119078,0.27452399965542584,0.6940332596089971,0.8043372187584714,0.9146411779079459,0.7331868131868134,0.7503732303732304,0.47426341002376715
1,1,LGBM,0.6627205041992101,0.7113004633581927,0.7598804225171751,0.7474038731406121,0.4999820290082205,0.22833546320574719,0.6388128509102589,0.7575765790187046,0.87634030712715,0.6949450549450551,0.7360187059435181,0.43406460349473375
2,2,LGBM,0.6635726128033924,0.711338047452604,0.7591034821018154,0.7474038731406121,0.49782431308794295,0.2202903556477589,0.7069821237792715,0.8174844131200869,0.9315106874722892,0.7591208791208792,0.7661209844093383,0.524860159074872
3,3,LGBM,0.6609905920405248,0.7097933411723016,0.758916268233221,0.7474038731406121,0.5010086518584205,0.22892775520949732,0.7392268927019884,0.8371916508538901,0.9351564090057919,0.7617582417582419,0.7759820449919101,0.5405051592782912
4,4,LGBM,0.6750009232161284,0.7242970432056013,0.7739953853979012,0.7474038731406121,0.5068947413742081,0.23514209293477392,0.6810986753230046,0.7916237462727029,0.9021488172224011,0.7538461538461542,0.7541219649915305,0.5108813783088857
5,5,LGBM,0.6659346389855838,0.7146049106303926,0.7632751822752019,0.7474038731406121,0.5029011890222657,0.23034597707205376,0.679712055454358,0.7922743290864735,0.9048366027185891,0.6914285714285717,0.7374759427391008,0.43892410615680627
6,6,LGBM,0.6853647556781667,0.7332318562784232,0.7810989568786797,0.7474038731406121,0.504919709819599,0.23128726468470745,0.7155195822471723,0.8211710490647874,0.9300508711409117,0.7973626373626377,0.7941774492101201,0.598304263152565
7,7,LGBM,0.665612197415002,0.7139093364259675,0.7622064754369332,0.7474038731406121,0.5011771613585387,0.22964810180346026,0.7041794011568054,0.8138791000271077,0.92357879889741,0.7419780219780222,0.7582003236077042,0.5007168490332208
8,8,LGBM,0.6808150589165661,0.728283104875731,0.7757511508348958,0.7474038731406121,0.5057222332161749,0.24447790736306574,0.6535273059531318,0.7724586608837085,0.8913900158142853,0.7573626373626376,0.7747857991941423,0.5352334331049783
9,9,LGBM,0.6737016670966441,0.7219501849674363,0.7701987028382284,0.7474038731406121,0.5108135085679892,0.256815089045873,0.6497506549702872,0.7681214421252375,0.8874175080617338,0.7151648351648354,0.7534192237350135,0.47805376439808783
