,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.6333127052865266,0.683128500018792,0.7329442947510574,0.5009823182711198,0.5,0.21710064154413936,0.5771156874330299,0.7049335863377609,0.832751485242492,0.6615384615384615,0.6666666666666666,0.3279473607173319
1,1,LGBM,0.6333053834065723,0.6831472920659976,0.7329892007254228,0.4911591355599214,0.4871287128712872,0.18609346225629425,0.5978837106547708,0.723908918406072,0.8499341261573732,0.6615384615384615,0.6666666666666666,0.3279473607173319
2,2,LGBM,0.6334055041162596,0.6834667568684932,0.7335280096207268,0.48919449901768175,0.49019607843137253,0.1932742293720206,0.5635082200640236,0.6935483870967741,0.8235885541295247,0.6307692307692307,0.6363636363636364,0.26616017681406645
3,3,LGBM,0.6471838947226497,0.6965836058180178,0.7459833169133859,0.49705304518664045,0.492063492063492,0.19794762918020156,0.5730986602087887,0.7020872865275142,0.8310759128462396,0.6615384615384615,0.6666666666666666,0.3279473607173319
4,4,LGBM,0.6405785876240264,0.6903634381929568,0.7401482887618871,0.5068762278978389,0.499001996007984,0.21443248287131747,0.5888252590057168,0.7172675521821633,0.8457098453586098,0.676923076923077,0.6865671641791045,0.3613005770467898
5,5,LGBM,0.6406599998248528,0.689950013154433,0.7392400264840133,0.481335952848723,0.4863813229571984,0.18374084221805426,0.5815949176827142,0.7106261859582544,0.8396574542337947,0.676923076923077,0.6865671641791045,0.3613005770467898
6,6,LGBM,0.6432711823931903,0.6924305633855753,0.7415899443779603,0.48722986247544203,0.48923679060665365,0.1908991982456252,0.5921367175261093,0.7191650853889943,0.8461934532518792,0.6461538461538462,0.6666666666666666,0.30483531362263383
7,7,LGBM,0.6289243354472835,0.679294922388845,0.7296655093304065,0.48919449901768175,0.4820717131474104,0.17435127629438418,0.5703458158845129,0.6992409867172676,0.8281361575500223,0.6307692307692307,0.6363636363636364,0.26616017681406645
8,8,LGBM,0.635091166164186,0.6854775059194949,0.7358638456748037,0.48722986247544203,0.48520710059171607,0.1813142602858172,0.5715334839110896,0.7011385199240986,0.8307435559371076,0.6461538461538462,0.676056338028169,0.31169488316261035
9,9,LGBM,0.6417371507793385,0.6911339121283873,0.7405306734774361,0.48722986247544203,0.48923679060665365,0.1908991982456252,0.5902126253769713,0.7172675521821633,0.8443224789873554,0.676923076923077,0.6769230769230768,0.3567362428842505
