,Iteration,Method,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,0,LGBM,0.738191866679275,0.779269238224462,0.820346609769649,0.7210216110019646,0.7828746177370032,0.4017004282682605,0.5625896228417541,0.691650853889943,0.8207120849381319,0.6153846153846154,0.5283018867924528,0.22833315278244487
1,1,LGBM,0.7778507613063201,0.814630050380322,0.8514093394543238,0.7328094302554028,0.7920489296636085,0.42045706471454447,0.6236593873330064,0.7447817836812144,0.8659041800294224,0.6461538461538462,0.5964912280701755,0.28922238652601767
2,2,LGBM,0.7235778137299989,0.7658299412030755,0.8080820686761521,0.7131630648330058,0.7725856697819314,0.38833558941138546,0.6306500907874449,0.7523719165085389,0.8740937422296328,0.676923076923077,0.631578947368421,0.3520968183794998
3,3,LGBM,0.746048466366418,0.7867044123389302,0.8273603583114424,0.7269155206286837,0.7851622874806801,0.41375993105937875,0.5902399201539456,0.7191650853889943,0.848090250624043,0.676923076923077,0.6440677966101694,0.3512091978080023
4,4,LGBM,0.7192096601669485,0.7626984126984128,0.806187165229877,0.7092337917485265,0.774390243902439,0.36557458744532284,0.622824568162112,0.7447817836812144,0.8667389992003168,0.6461538461538462,0.5964912280701755,0.28922238652601767
5,5,LGBM,0.754807941220025,0.7947019867549668,0.8345960322899086,0.7367387033398821,0.7781456953642384,0.45447419777969733,0.6541299510153356,0.7685009487666036,0.8828719465178716,0.676923076923077,0.631578947368421,0.3520968183794998
6,6,LGBM,0.732176922076599,0.7733307301835222,0.8144845382904453,0.724950884086444,0.7756410256410257,0.42031107640244697,0.6012672091175074,0.7277039848197343,0.8541407605219612,0.6153846153846154,0.5614035087719298,0.22634795467253557
7,7,LGBM,0.7593082190308843,0.7994543650793652,0.8396005111278461,0.7583497053045186,0.8098918083462133,0.47867277759537774,0.6232649607396381,0.7438330170777988,0.8644010734159595,0.6615384615384615,0.5925925925925926,0.3240700409568569
8,8,LGBM,0.7293631037355423,0.7715831569042578,0.8138032100729734,0.7288801571709234,0.7915407854984894,0.4043035121097336,0.5718392143414709,0.7011385199240986,0.8304378255067263,0.5846153846153846,0.5263157894736842,0.16347352281905347
9,9,LGBM,0.7608422488871937,0.8005685618729097,0.8402948748586258,0.7367387033398821,0.7938461538461539,0.42971571906354517,0.6055754583547939,0.7296015180265655,0.8536275776983371,0.676923076923077,0.6666666666666667,0.35355466119572365
