,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.6452067092358822,0.7321669884169882,0.8191272675980943,0.8392857142857142,0.41396764353596477,0.3812931514205848,0.2285714285714286,0.2681783347868999
1,1,RandomForestClassifier,0.6434260236894326,0.73009438009438,0.8218876212437954,0.8257763975155279,0.40667611578105345,0.3366862301416186,0.06060606060606061,0.008232195521312127
2,2,RandomForestClassifier,0.6408342802617705,0.7342261904761904,0.8276181006906101,0.8273291925465838,0.38327301067726594,0.33821499848080894,0.1714285714285714,0.14000486595492567
3,3,RandomForestClassifier,0.6517328808861234,0.7391811454311453,0.8291573557345331,0.8192546583850929,0.3998824421588132,0.28239480910718584,0.1714285714285714,0.14000486595492567
4,4,RandomForestClassifier,0.6569651805440453,0.7559416559416559,0.8549181313392663,0.827950310559006,0.3406987231957123,0.30921510154042964,0.0,-0.17013204077378394
5,5,RandomForestClassifier,0.6740904337990955,0.7590143715143716,0.8446460565724372,0.8335403726708073,0.37326502818971347,0.3487873676321829,0.27777777777777773,0.30232077246257094
6,6,RandomForestClassifier,0.6422264505678789,0.734901866151866,0.8275772817358534,0.817391304347826,0.3622468415937803,0.29192333909456475,0.12121212121212122,0.18659643181640817
7,7,RandomForestClassifier,0.6586281495618161,0.7447474259974258,0.8365828587905144,0.8240683229813663,0.3943548928896393,0.3216870553323567,0.0625,0.1309087345221607
8,8,RandomForestClassifier,0.6563293340179012,0.7416425353925353,0.8269557367671694,0.827950310559006,0.37352055120383115,0.33564290611454917,0.06060606060606061,0.008232195521312127
9,9,RandomForestClassifier,0.6457918086121668,0.7373712998712998,0.8305857956711534,0.8232919254658384,0.36325121394954357,0.3039563301161695,0.1176470588235294,0.08356510178876833
