,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.5913029042899651,0.6833708708708709,0.7754388374517767,0.782608695652174,0.16666666666666666,0.09167198366894382,0.0625,0.1309087345221607
1,1,RandomForestClassifier,0.6413968313601588,0.7319819819819819,0.8225671326038051,0.8043478260869565,0.2173913043478261,0.1839209894999875,0.0625,0.1309087345221607
2,2,RandomForestClassifier,0.606440606598109,0.6966966966966968,0.7869527867952845,0.7880434782608695,0.20408163265306123,0.131336849842537,0.17647058823529413,0.23036865898525322
3,3,RandomForestClassifier,0.6327654716562264,0.7216591591591591,0.8105528466620918,0.7989130434782609,0.21276595744680854,0.16456208633786523,0.1176470588235294,0.08356510178876833
4,4,RandomForestClassifier,0.577556154274226,0.6791478978978979,0.7807396415215697,0.7880434782608695,0.20408163265306123,0.131336849842537,0.0625,0.1309087345221607
5,5,RandomForestClassifier,0.6087254047882803,0.6993243243243243,0.7899232438603684,0.7880434782608695,0.20408163265306123,0.131336849842537,0.12121212121212122,0.18659643181640817
6,6,RandomForestClassifier,0.611648388830036,0.7030780780780781,0.7945077673261202,0.7989130434782609,0.3018867924528302,0.22112286204185555,0.2222222222222222,0.1867275359327644
7,7,RandomForestClassifier,0.6363692637638447,0.7268205705705706,0.8172718773772965,0.7989130434782609,0.2448979591836735,0.18480140818551666,0.1142857142857143,0.011831397122951465
8,8,RandomForestClassifier,0.6112875155578641,0.7044857357357357,0.7976839559136073,0.7989130434782609,0.32727272727272727,0.2378293145904692,0.06060606060606061,0.008232195521312127
9,9,RandomForestClassifier,0.6297381191584734,0.7232545045045046,0.8167708898505357,0.8097826086956522,0.3137254901960784,0.2535974150637848,0.12121212121212122,0.18659643181640817
