,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.7357998862927948,0.7880237573187479,0.8402476283447011,0.6563865546218486,0.5259264709844339,0.29860969688593597,0.6666666666666666,0.2837788262709293
1,1,RandomForestClassifier,0.737262264841792,0.7898531431462783,0.8424440214507647,0.7661344537815129,0.5453627020890448,0.32309493780169973,0.48888888888888893,0.32391936216053435
2,2,RandomForestClassifier,0.7299209888746021,0.7823488663470108,0.8354155529866214,0.6590756302521007,0.5366248491835576,0.30594533721189776,0.6857142857142857,0.3395219320088034
3,3,RandomForestClassifier,0.7584934363667746,0.8071856251355323,0.8558778139042899,0.4956302521008402,0.5227780669385296,0.29849045279501063,0.6571428571428573,0.27664750015532125
4,4,RandomForestClassifier,0.7203217898013059,0.7761782280798977,0.8320346663584894,0.7498319327731091,0.6010314017641826,0.4151048451715829,0.5200000000000001,0.26672513496441863
5,5,RandomForestClassifier,0.7280546451851333,0.779985784160181,0.83344222504967,0.6780672268907562,0.5602476561009401,0.34323924186598964,0.5769230769230769,0.3283134835235491
6,6,RandomForestClassifier,0.7182524112276758,0.7712924366913234,0.824332462154971,0.5058823529411763,0.5279171455577848,0.2982073624927173,0.6857142857142857,0.3395219320088034
7,7,RandomForestClassifier,0.7374633258345507,0.7886044382333806,0.8397455506322103,0.5750420168067225,0.5359452728068661,0.316669078122837,0.6301369863013699,0.19127069695618767
8,8,RandomForestClassifier,0.7342466060842449,0.7855697178517214,0.8368928296191979,0.7383193277310923,0.5518444893290748,0.3302384630229842,0.44000000000000006,0.13127877736529978
9,9,RandomForestClassifier,0.724613088331062,0.7774130785726332,0.8305736459965298,0.6158823529411763,0.5424590339340724,0.30732494151771345,0.7042253521126761,0.37500790630501557
