,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.6704056554896901,0.7295496711081125,0.788693686726535,0.5294117647058824,0.5151515151515151,0.2528634383452576,0.65625,0.32417076173977877
1,1,RandomForestClassifier,0.6525832819264901,0.7117136110642603,0.7708439402020306,0.5352941176470588,0.5062500000000001,0.23205454162284145,0.634920634920635,0.291943259110678
2,2,RandomForestClassifier,0.6530696341890168,0.712957497048406,0.7728453599077953,0.5441176470588235,0.5141065830721003,0.24913782483131305,0.6129032258064516,0.25996204933586337
3,3,RandomForestClassifier,0.6811487775292414,0.739311013661663,0.7974732497940845,0.5352941176470588,0.5062500000000001,0.23205454162284145,0.625,0.2625593596547331
4,4,RandomForestClassifier,0.6764932954365668,0.7342511384719177,0.7920089815072686,0.5470588235294118,0.5126582278481013,0.2459112539422799,0.5806451612903226,0.198292220113852
5,5,RandomForestClassifier,0.6914072153965476,0.7476387249114521,0.8038702344263566,0.5411764705882353,0.5272727272727273,0.2807588209011913,0.6461538461538462,0.29506641366223907
6,6,RandomForestClassifier,0.6545563980398105,0.714348962725586,0.7741415274113616,0.5088235294117647,0.49849849849849853,0.21454483136826008,0.6461538461538462,0.29506641366223907
7,7,RandomForestClassifier,0.686847197671535,0.7434854106932028,0.8001236237148707,0.5294117647058824,0.5121951219512195,0.24576243980784593,0.5901639344262295,0.22813729441205696
8,8,RandomForestClassifier,0.6699527511717775,0.7282847023106763,0.7866166534495751,0.5411764705882353,0.5214723926380368,0.2664046427640788,0.6969696969696969,0.3897345446205973
9,9,RandomForestClassifier,0.6600526891962339,0.7189239332096474,0.7777951772230609,0.55,0.5263157894736842,0.2765219885907424,0.6461538461538462,0.29506641366223907
