,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.6248827997479914,0.7172484984984985,0.8096141972490055,0.717391304347826,0.4693877551020407,0.315044663456368,0.5490196078431372,0.2977532000896204
1,1,RandomForestClassifier,0.6412860039834017,0.7284159159159159,0.8155458278484301,0.6902173913043478,0.4242424242424242,0.25043084508533214,0.5098039215686274,0.23101541386263652
2,2,RandomForestClassifier,0.6258182975812595,0.7142454954954954,0.8026726934097314,0.6902173913043478,0.41237113402061853,0.23471147334807266,0.48000000000000004,0.1990019561648592
3,3,RandomForestClassifier,0.6345057811687234,0.72118993993994,0.8078740987111566,0.6956521739130435,0.44000000000000006,0.2726363522727308,0.5384615384615384,0.26244812417468893
4,4,RandomForestClassifier,0.6316370480875204,0.7195007507507508,0.8073644534139812,0.6739130434782609,0.3877551020408163,0.19910822730442457,0.5200000000000001,0.26672513496441863
5,5,RandomForestClassifier,0.6534619143625502,0.7396771771771772,0.8258924399918042,0.717391304347826,0.45833333333333326,0.29987027235916686,0.5660377358490567,0.29342813054936995
6,6,RandomForestClassifier,0.6283121577014337,0.7183746246246246,0.8084370915478156,0.6739130434782609,0.3877551020408163,0.19910822730442457,0.5882352941176471,0.3644909863166043
7,7,RandomForestClassifier,0.636288907893321,0.7225037537537538,0.8087185996141865,0.7010869565217391,0.43298969072164945,0.2638131654613108,0.5384615384615384,0.26244812417468893
8,8,RandomForestClassifier,0.6356109173388003,0.7250375375375375,0.8144641577362748,0.7065217391304348,0.4375,0.27064562717162094,0.56,0.33444831376397804
9,9,RandomForestClassifier,0.625174160300363,0.7149024024024024,0.8046306445044419,0.7065217391304348,0.4375,0.27064562717162094,0.5098039215686274,0.23101541386263652
