,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.7316460195161357,0.7829795436474472,0.8346297087413583,0.7466386554621849,0.545845741718282,0.32006353331063264,0.638888888888889,0.21995313870134314
1,1,RandomForestClassifier,0.725974106286885,0.7808074115124206,0.8356407167379565,0.6915966386554622,0.5710178692412066,0.3588670840153749,0.48000000000000004,0.1990019561648592
2,2,RandomForestClassifier,0.7350905886714043,0.7863040021203285,0.8380712977952902,0.5150420168067226,0.5312292736112179,0.3090753894734079,0.7123287671232876,0.38452347367357936
3,3,RandomForestClassifier,0.7263375263651266,0.7786900946919497,0.8310426630187728,0.7260504201680671,0.5263168469598787,0.2934575280866685,0.6944444444444445,0.3476045138405155
4,4,RandomForestClassifier,0.7251842091714006,0.7785672120087702,0.83195021484614,0.7246218487394958,0.5338537332382864,0.3051679136143688,0.6571428571428573,0.27664750015532125
5,5,RandomForestClassifier,0.726893711320078,0.7799026576392065,0.8329116039583353,0.647142857142857,0.5327885163958399,0.2918039505361246,0.7222222222222222,0.41143020141010167
6,6,RandomForestClassifier,0.7292283614424407,0.7818133628894296,0.8343983643364182,0.7272268907563024,0.5369236265493359,0.3053873885915647,0.38095238095238093,0.22622443021996258
7,7,RandomForestClassifier,0.7347569204650747,0.7857907862082257,0.8368246519513768,0.6508403361344537,0.5669556227070559,0.35131994655015064,0.5846153846153845,0.17172675521821631
8,8,RandomForestClassifier,0.7259208403272692,0.7787081656747702,0.8314954910222714,0.5211764705882354,0.5342797672609415,0.3118567993491523,0.6857142857142857,0.3395219320088034
9,9,RandomForestClassifier,0.722772614019134,0.7758649977110087,0.8301994812377228,0.5067226890756302,0.5277706171529308,0.2988394398797727,0.6666666666666666,0.3279473607173319
