,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.6654610819037624,0.7247217068645639,0.7839823318253655,0.6823529411764706,0.5090909090909091,0.28206530487809434,0.44000000000000006,0.13127877736529978
1,1,RandomForestClassifier,0.6750980155966042,0.7356426041490975,0.7961871927015909,0.6794117647058824,0.540084388185654,0.31614879864196854,0.4905660377358491,0.1632381750155198
2,2,RandomForestClassifier,0.6486715113370465,0.7104064766402428,0.7721414419434391,0.6558823529411765,0.4935064935064935,0.24835239569865258,0.48000000000000004,0.1990019561648592
3,3,RandomForestClassifier,0.6759679283226527,0.7368654073199528,0.7977628863172528,0.6941176470588235,0.5398230088495575,0.32307869025487573,0.5454545454545454,0.2268266742857601
4,4,RandomForestClassifier,0.6502448665951364,0.7125780064091752,0.7749111462232141,0.6911764705882353,0.5248868778280543,0.3046952412511192,0.5,0.1965827648258288
5,5,RandomForestClassifier,0.6658804843598709,0.7262818350480688,0.7866831857362666,0.6852941176470588,0.5244444444444445,0.30060796904411496,0.48000000000000004,0.1990019561648592
6,6,RandomForestClassifier,0.6667968158135008,0.7267456569404621,0.7866944980674234,0.6852941176470588,0.5201793721973095,0.29588683646352126,0.5490196078431372,0.2977532000896204
7,7,RandomForestClassifier,0.6543106209853926,0.7155506830831505,0.7767907451809084,0.6705882352941176,0.49549549549549554,0.2598066312661854,0.425531914893617,0.16941130349926678
8,8,RandomForestClassifier,0.656906073592655,0.7178487097318266,0.7787913458709982,0.7,0.5363636363636363,0.32267888632581543,0.39999999999999997,0.06355559856574038
9,9,RandomForestClassifier,0.6732277555551139,0.7322271883960195,0.7912266212369251,0.6647058823529411,0.5128205128205129,0.275700144209362,0.4615384615384615,0.1307174054769686
