,Iteration,Method,AUC_LB,AUC,AUC_UB,Accuracy,F1_test,MCC_test,F1_external,MCC_external
0,0,RandomForestClassifier,0.6939577857952199,0.7595891449363251,0.8252205040774303,0.5534351145038168,0.5021276595744681,0.28354389212262454,0.6333333333333333,0.32030869099662634
1,1,RandomForestClassifier,0.7117544904882673,0.7759627046694966,0.8401709188507258,0.5534351145038168,0.5145228215767634,0.31434361100410213,0.6440677966101694,0.3512091978080023
2,2,RandomForestClassifier,0.6884105177025105,0.7542070952092177,0.8200036727159249,0.549618320610687,0.49137931034482757,0.25973545774594603,0.6451612903225806,0.3216318785578748
3,3,RandomForestClassifier,0.7175806859683637,0.779335961188599,0.8410912364088344,0.5725190839694656,0.5254237288135594,0.3339436189105661,0.6229508196721313,0.28992447831532236
4,4,RandomForestClassifier,0.6998023362255494,0.7653502122498483,0.8308980882741472,0.5534351145038168,0.5021276595744681,0.28354389212262454,0.5964912280701755,0.28922238652601767
5,5,RandomForestClassifier,0.7102533667241762,0.7743708308065493,0.8384882948889225,0.5610687022900763,0.5106382978723405,0.3016542041012027,0.6666666666666667,0.35355466119572365
6,6,RandomForestClassifier,0.7158042905013685,0.7797528805336568,0.843701470565945,0.5267175572519084,0.48760330578512395,0.25512705636702654,0.6000000000000001,0.2583442120835885
7,7,RandomForestClassifier,0.6944676863339324,0.7608399029714978,0.8272121196090633,0.5305343511450382,0.4853556485355648,0.24902948648012718,0.65625,0.32417076173977877
8,8,RandomForestClassifier,0.6921099699505344,0.7583383869011522,0.82456680385177,0.5343511450381679,0.4916666666666667,0.2632558263496586,0.6229508196721313,0.28992447831532236
9,9,RandomForestClassifier,0.7084414226980355,0.7747119466343237,0.840982470570612,0.549618320610687,0.4999999999999999,0.279487252839258,0.65625,0.32417076173977877
